NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails
Visualize customer journey interactions on the Customer Insights activity timeline,Visualize customer journey interactions on the Customer Insights activity timeline,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/visualize-customer-journey-interactions-customer-insights-activity-timeline,,,-,Dec 2021,Create a timeline to visualize all customer activities chronologically by combining customer interactions with Dynamics 365 Marketing customer journeys andother data sourcesin Dynamics 365 Customer Insights. Empower sales serviceand other frontline agents to deeply personalize relationships through knowledge of every customer's engagement history.Feature details,When Customer Insights and Dynamics 365 Marketing are connected all marketing interactions (such as message sent opened or clicked) are available as activities in Customer Insights. Admins can add any or all of these interactions into the Customer Insights timeline. You can include this combined timeline in Dynamics 365 apps with the Customer Card add-insolution or in a Power BI dashboard. Marketing interactionscan be viewed alongside other data sources like CRM ERP popular data warehouses POS systemsyour websites and so on.
Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-webinar-registration-experience-teams-then-design-participants-journey-marketing-few-clicks,,,Oct 2021,Dec 2021,Create webinars and manage participant registrations in Microsoft Teams that are seamlessly connected to Dynamics 365 Marketing. In Dynamics 365 Marketing create rich personalized messages and send automated emails to webinar participants based on registration and attendance triggers and use analytics to optimize results.Feature details,Create branded registration pages in Microsoft Teams that are integrated out of the box with Dynamics 365 MarketingManage registrations including approve decline and waitlist functionalityEasily trigger journeys in Dynamics 365 Marketing based on user behaviors in Microsoft Teams
Personalization,Personalization,Personalization,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/planned-features,,,,,,
Create segments for contacts and leads in the new segmentation builder,Create segments for contacts and leads in the new segmentation builder,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/create-segments-leads-custom-entities-new-segmentation-builder,,,Nov 2021,-,To improve marketing return on investment it is important to target the right audience. The new segmentation builder simplifies segment creation no matter how complex the logic. In addition it enables you to build segments on leads without requiring the lead to have a parent contact. You can then market to these leads directly using customer journeys.Feature details,Directly create segments based on attribute data for both contacts and leads.Discover and search across all attributes in the right pane and add them to your queries.Preview and estimate the number of segment members as part of your segment creation process.
Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withÂ Power Automate,Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withÂ Power Automate,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/marketing/dynamics365-marketing/deliver-rich-customer-experiences-across-dynamics-365-office-other-apps-augmenting-customer-journeys-with%C2%A0power-automate,,,Nov 2021,-,Because every business is unique connecting systems and leveraging existing flow is critical. Enable limitless customization and fine-grained control of your customer experience by using Power Automate flows to enhance customer journeys. Power Automate flows can raise events that can trigger a journey or steps within a journey. You can call a Power Automate flow from the journey canvas to connect with proprietary and external business systems. This end-to-end integration allows you to leverage the entire Power Automate ecosystem of connectors and controls to deliver the unique experience your customers demand.Feature details,Use Dynamics 365 Marketing as the hub of your automation leveraging first and third-party data sources through Power Automate triggers to react to important customer interactionswith your brand. Then use Power Automate connectors to deliver the best experience with a digital or physical channel.Invoke a Power Automate flow from any point in the customer journey and access the rich ecosystem of actions and triggers from proprietary and external business systems as well as actions from hundreds of apps. For instance from a customer journey that seeks feedback with a survey update your team via a Teams channel in real-time as feedback comes in.Trigger a customer journey from a Power Automate flow. For instancewhen a back-ordered item is back in stocktrigger a marketing campaign for customers who previously attempted to buy the item.
Sales,Sales,Sales,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/,,,,,,
Dynamics 365 Sales,Dynamics 365 Sales,Dynamics 365 Sales,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/,,,,,,
Accelerator workspace,Accelerator workspace,Accelerator workspace,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/planned-features,,,,,,
Seller KPIs and manager dashboards to encourage productivity,Seller KPIs and manager dashboards to encourage productivity,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/seller-kpis-manager-dashboards-encourage-productivity,,,Dec 2021,-,Keeps sales organizations up to date on important KPIs and enables sellers to be more data-driven with their decision making.Feature details,Manager dashboard: Allow managers to view their team's performance and coach and guide sellers:Number of active leads in the org versus previous periods.The conversion ratio between leads and opportunity.Leads by sources types.Leads per sellers.Real-time seller KPIs: The ability for organizations to define key performance indicators for sellers and allow them to see progress in real time:Number of qualified leads.Number of calls.Number of meetings.Estimated value.NoteThis feature is available in Unified Interface only.This functionality might require a separate add-in license. See Dynamics 365 Sales pricing to compare plans.
Advanced filtering and sorting,Advanced filtering and sorting,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/advanced-filtering-sorting,,,-,Oct 2021,Sellers manage numerous customers and activities. To quickly finish a task at hand sellers at times focus on executing the tasks without properly prioritizing them and end up concentrating on activities that have a lower impact on business outcomes. This functionality will help sellers to focus on the right customers and spend time more efficiently by engaging with the highest priority customers rather than searching the information.Feature details,This functionality will enable sellers to filter information based on standard as well as custom fields. The functionality can be enabled from the settings where a sales engagement manager (SEM) can define filters relevant for business scenarios. A SEM would be able to extend the current filter based on standard custom and a combination of fields.
Sequence management and connected screen enhancement,Sequence management and connected screen enhancement,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/sequence-management-connected-screen-enhancement,,,-,Oct 2021,Sales enablement managers (SEMs) and sales managers need to define the customer engagement best practices and outreach strategies that can scale to an organizations needs increase sales growth and optimize sales team productivity. These features will enable SEMs to easily maintain sequences and track progress.Feature details,Sequence Management: An enhanced UI that allows users to easily filter create default views and manage sequences. Advanced grid that allows users to perform field level filters and mass actions.Tagging: Over a period of time the number of sequences in the system can increase multifold. This feature would help the SEMs to easily maintain of these sequences. This will help SEMs to:Check if a relevant sequence exists before creating a new one.Group similar sequences together.Look at a list of sequences relevant to a business unit or scenario.Remove all the irrelevant sequences from the view.NoteThis feature is available in Unified Interface only.
Show sequence details in grid,Show sequence details in grid,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/show-sequence-details-grid,,,-,Oct 2021,This enhanced experience will allow sales enablement managers (SEMs) to easily manage the sequences and have a quick view of the status of attached entities.Feature details,The connected tab within the sequence is enhanced with more details that allow SEMs to work efficiently. Also you can see details of the status of each connected entity and get a view of which entities are connected through segments.NoteThis feature is available in Unified Interface only.
Worklist ownership enhancement,Worklist ownership enhancement,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/worklist-ownership-enhancement,,,-,Oct 2021,This functionality will enable each to user stay on top of his or her activities and would declutter the entity owner's worklist. For example if the opportunity is owned by a seller and the product expert has to prepare for the demo. Product experts will see the demo preparation activity and would be able to perform it from within the Sales Accelerator feature.Feature details,Worklists will be populated based on activity ownership instead of entity ownership. This will allow a seller who is responsible to finish the task to stay on top of the activity and would also declutter the entity owner's worklist.
Worklist and workspace improvement,Worklist and workspace improvement,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/worklist-workspace-improvement,,,-,Oct 2021,Boost sales productivity with an intelligent worklist. Get suggestive actions and stay on top of your to-do list. Focus on the right leads with the prioritized pipeline automated outreach recommendations and simple integrated engagement channels.This functionality will help organizations reduce lead qualification time. It will improve productivity and work satisfaction. This will also help sellers focus on the key task at hand while similar tasks can be bundled and completed in one click.Feature details,The worklist user interface is being enhanced to make it more usable and improve the seller's productivity. The filtering and sorting capabilities will also be enhanced.Going forward the visibility of items in the worklist will depend on ownership of the activity not just on ownership of the entity.See alsoPrioritize your sales pipeline by using the work list (docs)
Template sequences,Template sequences,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/template-sequences,,,-,Dec 2021,Template sequences can help customers to accelerate their sales accelerator implementation. These sequences are defined based on industry best practices and can help you define a consistent approach to connect with your customers.Key business benefits:Ready-to-use and preconfigured sequencesBased on industry best practices and proven business processesFaster and easier implementationProvide guidance on usage of various branching and other sequence capabilitiesFeature details,Multiple best practice templates would be made available as part of the product that can be easily copied and customized for your business needs. These template sequences will also showcase how sequence branching and other features can be utilized efficiently.
Smart sequence - LinkedIn integration,Smart sequence - LinkedIn integration,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/smart-sequence--linkedin-integration,,,-,Dec 2021,LinkedIn integration with sales accelerator will allow you to bring your most important social selling functions directly into your sequences. You can leverage LinkedIn's vast network and recommend the next best action to your sellers.Feature details,This feature allows users to perform the following LinkedIn actions within sales accelerator:InMailConnect requestIntroductionNoteThis feature is available in Unified Interface only.
Transport sequence between systems,Transport sequence between systems,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/transport-sequence-between-systems,,,-,Dec 2021,This functionality will ease the deployment of the sales accelerator solution. Administrators will be able to easily move finalized sequences to test environments.Feature details,This feature allows sequences to be transported between systems. For example if you create a sequence in a development environment you can move it to quality assurance (QA) and production environments.
Worklist card enhancement,Worklist card enhancement,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/worklist-card-enhancement,,,-,Dec 2021,The intent is to help sales development representatives (SDRs) business development representatives (BDRs) and account managers to perform their activities efficiently and maximize the business impact. To do so the system should help these users to quickly identify which customer to contact; having more information on the card will enable users to quickly make those decisions.Feature details,SDRs BDRs and account managers have different focuses and need ways to be able to quickly identify which customer to contact to maximize the business impact.Worklist cards will be enhanced to have more relevant information for each scenario. For example an opportunity will have information on title a contact will have information on role and an account will have information on open opportunity. This would allow users to make decisions by looking at a worklist card.
Improving leads quality with data hygiene,Improving leads quality with data hygiene,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/improving-leads-quality-data-hygiene,,,Nov 2021,Jan 2022,Sellers today often lose time engaging with the wrong leads struggling with a busy pipeline with irrelevant records and unable to find the customers that are more likely to close. Ensuring that only quality leads are being assigned to sellers with accurate data that enables personalized interactions will save sellers valuable time and allow them to close more business opportunities.Feature details,Automated process based on AI engine to achieve the following:Detection mechanism:Duplicates detection.False or invalid leads detection.Detection of leads-related records (including account or contact resolution).Detection of leads' additional available data.Enable automated actions upon detection of any of the above:Update close or delete a lead.Merge two (or more) leads.Notify user about detection (seller or admin).Configuration: User ability to choose and define a leads characteristics for detection and type of actions as a result.User-based decision or resolution interaction (advanced merge and advanced enrichment capability).
Lead routing,Lead routing,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/lead-routing,,,-,Jan 2022,Responding quickly to incoming leads can make or break a deal particularly in highly competitive markets. The more mature a business gets and the more complex the prospective customers needs are the more challenging it is to maintain that speedy response and personalized touch.Quickly growing businesses require more sophisticated automation to ensure operational efficiency proper distribution of leads among their sales team and to make sure no leads slip through the cracks. The functionality will provide the following business benefits:Maximize operational efficiencyImprove lead qualification timeImprove sellers productivityTimely lead assignmentImprove lead conversion ratioFeature details,This feature covers following functionalities:Define rules for automatic assignment. The following components are included:Segments: This is a group of leads that can be assigned to the rule.Lead attribute: Lead attributes that need to be considered should be maintained here.Seller attribute: The attributes and skills of the sellers that need to be evaluated for lead distribution should be mentioned in the rule.Distribution method: Lead can be distributed either through round robin or load balancing methods.Ability to define seller attributes and assign to the seller: Seller attributes can be specifically defined for lead routing.Create segment for the assignment rules.Maintain sales team and capacity. The user can maintain the sellers who would receive the leads. The capacity of the sellers can also be used which would be taken into consideration when distributing the leads.
Collaboration using Microsoft Teams,Collaboration using Microsoft Teams,Collaboration using Microsoft Teams,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/planned-features,,,,,,
Add activities or notes to a Dynamics 365 record from the context of a Microsoft Teams message,Add activities or notes to a Dynamics 365 record from the context of a Microsoft Teams message,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/add-activities-or-notes-dynamics-365-record-context-teams-message,,,Nov 2021,-,Quickly save decisions notes and other key sales events to Dynamics 365 without having to context switch out of Teams.Feature details,Add a note or task to a record's timeline from the context of a Microsoft Teams message in a chat or channel.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.
Edit a Dynamics 365 record within a Microsoft Teams conversation,Edit a Dynamics 365 record within a Microsoft Teams conversation,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/edit-dynamics-365-record-within-teams-conversation,,,Nov 2021,-,This feature enables quick editing of Dynamics 365 records from a form within a Microsoft Teams conversation and works from the perspective of the Dynamics 365 user or the recipient.Allow users to quickly edit a record from a Microsoft Teams conversation to ensure the information is up to date before sending it to teammates customers and other stakeholders.Send a quickly accessible form to your conversation participants so they can make rapid updates to a record ensuring that you have the most up-to-date information.Feature details,Conversation participants can quickly update or edit a record from within a Microsoft Teams conversation.Conversation participants can change the state of a record from within a Microsoft Teams conversation.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.
Share Dynamics 365 records in a Microsoft Teams message,Share Dynamics 365 records in a Microsoft Teams message,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/share-dynamics-365-records-teams-message,,,Nov 2021,-,Users want to surface the customer engagement records in the context of Microsoft Teams conversations. They need a wayto search and share Dynamics 365 records directly in the message. Current collaboration features allow Dynamics 365 records to be pinned to Microsoft Teams channels. However that is the beginning and end of contextualization. To leverage data throughout the conversation this feature would allow users to search for information in Dynamics 365 share with other participants in their chats or channels and even allow them to perform tasks from within the conversation.Feature details,Send a quick summary of a record in a Microsoft Teams chat or channel as an interactable card.Search for Dynamics 365 records organized by relevance.Search for and filter Dynamics 365 records to share with your conversation participants.Allow conversation participants to add an activity or note to a record through interactable cards.Ensure only those with proper security permissions can view details of the record.
Drive seller productivity with Teams meeting integration,Drive seller productivity with Teams meeting integration,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/drive-seller-productivity-teams-meeting-integration,,,Jan 2022,-,Sellers have meetings all day throughout the week and are asking for a more integrated experience to create and join Microsoft Teams meetings directly from Dynamics 365. Additionally while conducting meetings sellers want to be able to keep their sales records up to date more seamlessly. By having direct access to these records as well as streamlined note-taking capabilities during a Teams meeting sellers can save time be more productive and drive more revenue while providing organizations with far better data. Finally premium conversation intelligence enables sellers to conduct more valuable meaningful customer conversations.Feature details,As a seller you can:Create a Teams meeting when scheduling an appointment from Dynamics 365.Join Teams meetings in a single click from Dynamics 365.Access and update sales records seamlessly during a Teams meeting.Capture notes seamlessly during a Teams meeting and have these notes automatically sync back to records in Dynamics 365.Leverage premium conversation intelligence for real-time call analysis and insights during a Teams meeting.
Send automated chat notifications from Dynamics 365 to Teams,Send automated chat notifications from Dynamics 365 to Teams,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/send-automated-chat-notifications-dynamics-365-teams,,,Feb 2022,-,As a sales organization you can:Shorten sales cycles by ensuring sellers are kept abreast of key sales activity changes as they happen.Increase team collaboration efficiency by enabling sellers to view and update sales data from within Microsoft Teams.Feature details,The following capabilities are available to sellers and managers:Use @mentions in the timeline of a record and be assured that the user will be notified automatically in their Teams chat through the Dynamics 365 Sales bot.Get notifications of AI-driven insights from Dynamics 365 Sales assistant; automatically push updates of insights configured in Dynamics 365 Sales Assistant Studio keyfor example email follow-up alerts.Get Teams chat notifications for the records youre following; use the follow/unfollow feature in Dynamics 365 to get automatic notifications about the updates to sales records.Configure the notifications that you want to receive within Teams where and at what frequency.
Embedded Teams collaboration is generally available,Embedded Teams collaboration is generally available,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/embedded-teams-collaboration-generally,,,Sep 2021,Jan 2022,Increase efficiency by leveraging the structure of CRM data to organize your sales collaboration activities.Accelerate deal velocity by connecting sellers with key stakeholders and information.Reduce app switching and stay in context.Feature details,Integrated Microsoft Teams chat capabilities: Native Microsoft Teams chat client featuring rich text editor file attachments emojis GIFs delivery options edit/delete messages like/heart posts and so on.Contextual chat and channel list: Enable linking of chats to sales entities (channel linking available today). Chat list changes context based on Dynamics 365 context.People discovery: Leverage the intelligence of CRM to recommend internal stakeholders and external contacts with whom to collaborate.
Engage in contextual collaboration on Teams,Engage in contextual collaboration on Teams,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/engage-contextual-collaboration-teams,,,Sep 2021,Jan 2022,The embedded Microsoft Teams collaboration solution that launched to preview in 2021 release wave 1 provides a contextual collaboration experience for users needing to interact with colleagues directly from within Dynamics 365. With this feature you get increased context-driven features such as the ability to automatically inject CRM context directly within the message.As a seller you can be more efficient and productive in Teams with the latest updates to the embedded collaboration experience in Dynamics 365.Feature details,This feature has the following capabilities for sellers:Inject record context into messages.Render an adaptive card to message participants that allows for a record to be viewed and edited within Teams.Launch a Teams chat window from user names within a record in a single click.
Enhancements to Suggested Contacts system for embedded Teams collaboration,Enhancements to Suggested Contacts system for embedded Teams collaboration,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/customize-contact-suggestions-embedded-teams-collaboration,,,Oct 2021,Jan 2022,As a seller you can use the suggested contacts in the embedded Microsoft Teams collaboration experience to discover valuable contacts that are contextually relevant to the record youre working on. Extending on the initial suggestion engine released in 2021 release wave 1 enhancements will provide additional configuration of data inputs that power the relevancy engine for chat and contact suggestions.Using the contextually relevant suggestions you can be more productive by reducing context switching and getting what you need in the current workspace that you're in.Feature details,As a seller you get more appropriate contact suggestions based on the app or entity that youre in.As an administrator you can:Get more control over the contact suggestions.Customize suggestions per Dynamics 365 app.Customize suggestions per entity.Customize suggestions based on custom fields.
Engagement platform and productivity intelligence,Engagement platform and productivity intelligence,Engagement platform and productivity intelligence,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/planned-features,,,,,,
Seamless experience with Teams Outlook 3P calling,Seamless experience with Teams Outlook 3P calling,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/seamless-experience-teams-outlook-3p-calling,,,Feb 2022,Mar 2022,Gain business-critical insights on top of any customer interaction. In addition make calls receive calls and send emails seamlessly from Dynamics 365 Sales.Feature details,Microsoft Teams calling and meetings from Dynamics 365.Real-time analytics and action items.Connectivity to Dynamics 365 entities.Third-party telephony system (3P) calling in Dynamics 365.Incoming calls in Dynamics 365.Embedded Microsoft Teams meetings.Seller-side-only recording.
Forecasting and pipeline analytics,Forecasting and pipeline analytics,Forecasting and pipeline analytics,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/planned-features,,,,,,
Filter users from forecast hierarchy,Filter users from forecast hierarchy,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/filter-users-forecast-hierarchy,,,-,Oct 2021,Complex organizations are supported by employees in a variety of roles. While these roles may be essential for the success of the business not all of them are opportunity owning or need to forecast future sales revenue.As an administrator you can filter user records from the forecast hierarchy. This will allow sellers and managers to view only the user records that are of interest for the sales forecasting process decluttering the forecast grid.Feature details,The following capability is available in this feature: Filter user records from forecast hierarchy.
Share and delegate access to forecasts,Share and delegate access to forecasts,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/share-delegate-access-forecasts,,,-,Oct 2021,During a forecast cycle sales leaders must be able to include some of their colleagues in the forecast process. As a sales manager you'll be able to share your forecast with any other Dynamics 365 user. Youll also be able to view a forecast as one of your directs for those times when you need to share the screen.Feature details,The following capabilities are available as part of this feature:Administrators can delegate access to forecast records to any other Dynamics 365 user.Managers can provide access to and remove access from their forecast for any other Dynamics 365 user.Managers can view the forecast as one of their directs.
Improve predictive scoring by enabling intelligent field augmentation,Improve predictive scoring by enabling intelligent field augmentation,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/improve-predictive-scoring-enabling-intelligent-field-augmentation,,,Aug 2021,Oct 2021,Organizations collect a vast amount of CRM data as part of their regular course of business. This data becomes a powerful source of insight when used to train an AI predictive scoring model. Certain attributes may have key values that when recognized by the model can further its efficacy and exclude confounding data points.Using field augmentation you can identify the fields and key values for training the AI model.Field augmentation could include:Whether a customer is new or returning.Whether an email is legitimate or fake.Recent activity.Phone number length.Private or public email domain.Contact ID.Feature details,As an administrator you can select an attribute as an augmented field from the edit fields page.See alsoSelect intelligent fields (docs)
Expand visibility of your forecast with annual view and weekly and yearly periods,Expand visibility of your forecast with annual view and weekly and yearly periods,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/expand-visibility-forecast-annual-view-weekly-yearly-periods,,,-,Jan 2022,As sales operations deploy their forecast process across their sales organizations it's important to ensure that sellers can view the data in a way that makes the most sense to them.As a seller you'll be able to get an annual or year-to-date view of the forecast at period lengths that are relevant to your organization. Your administrator can configure forecasts spanning weekly or yearly periods.Feature details,As a seller you can:Get an annual or year-to-date view of the forecast.Visualize period-over-period progress.View forecasts for weekly and yearly periods.As an administrator you can configure forecasts with weekly and yearly periods.
Quota inline editing and rollups,Quota inline editing and rollups,null,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/quota-inline-editing-rollups,,,-,Jan 2022,When planning for a coming sales period organizations may need to access various disparate sources for quota information. Often sellers are responsible for inputting their own quota information into a forecasting system. By providing the ability to edit simple columns in line such as the quota column organizations will now be able to allow team members that have access to the most current information to update the forecast.In addition forecasting will now support the ability to roll up a simple column from child to parent node. This is useful in the case that a manager's quota needs to remain current as sellers may move from team to team and take their quota with them. This capability extends beyond quota information and allows for the insertion of a simple column within the forecast that can be edited by sellers to keep track of a variety of values.Feature details,The following capability is now available:quota inline editing and rollups
Mobile,Mobile,Mobile,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave2/sales/dynamics365-sales/planned-features,,,,,,
