NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails,ParentNodeName
Connect Dynamics 365 Customer Insights with customer journey orchestration when using your own data lake,Connect Dynamics 365 Customer Insights with customer journey orchestration when using your own data lake,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/connect-dynamics-365-customer-insights-customer-journey-orchestration-when-using-own-data-lake,,,Feb 2022,Apr 2022,Some customers choose to store their Customer Insights data in their own Azure Data Lake Storage so that they can manage their own infrastructure. You can now use data stored in Azure Data Lake Storage to build segments specify conditions and personalize messages to build rich real-time journeys while maintaining full control over the underlying data.,Use Dynamics 365 Customer Insights data such as customer profile and segment information that is stored in Azure Data Lake Storage in the same way you do today with standard Customer Insights connected to Microsoft Dataverse. You can:  Target customers based on real-time event-triggered customer journeys.Deeply personalize your engagement using rich Customer Insights data.Close the feedback loop with customer interactions from Dynamics 365 Marketing customer journeys available in the Customer Insights activity timeline.,CE
Quickly personalize emails using predefined dynamic text without the need to know the underlying data structure,Quickly personalize emails using predefined dynamic text without the need to know the underlying data structure,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/quickly-personalize-emails-using-predefined-dynamic-text-without-need-know-underlying-data-structure,,,Feb 2022,Apr 2022,Delivering personalized content is a top goal for marketers. Now anyone can add the power of personalization to their content with a quick list of the most commonly used dynamic text. For example adding &quot;first name&quot; from the list will personalize your message with the customers first name. Additionally teams can create and share dynamic text that is unique to their business. This makes it quick and easy to add common personalization to your messages.,With predefined dynamic text marketers will have a quick list of the most commonly used tokens to select from. Marketers familiar with the data model can create and share additional tokens so that the rest of the team can focus on authoring content rather than learning database concepts.  Select and insert a token from a list of predefined tokens.Update a tokens default value if needed.Share created tokens with everyone.,CE
Quickly create emails with enhanced reusable content fragments,Quickly create emails with enhanced reusable content fragments,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/quickly-create-emails-enhanced-reusable-content-fragments,,,Apr 2022,Jun 2022,Now its easy to create rich reusable blocks of content allowing your team to quickly assemble beautiful emails with a few clicks. New content fragments can include layout advanced elements and personalization so there is no limit to the content you can create for reuse.,Create content blocks that include layout text buttons and personalization.Easily save new content blocks directly from your email message.View and insert content blocks from the asset library.,CE
Win customer attention by creating conditional dynamic content with easy-to-use no-code experiences,Win customer attention by creating conditional dynamic content with easy-to-use no-code experiences,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/win-customer-attention-creating-conditional-dynamic-content-easy-to-use-no-code-experiences,,,Apr 2022,Jun 2022,Conditional dynamic content is key to delivering highly personalized messages to customers. Creating content where entire sections target specific customer segments allows you to craft messages that align with your customers interests and preferences driving engagement and brand loyalty. Until now achieving this level of dynamic content was complex and required coding. With the new conditional content experience marketers can easily create messages targeted to specific segments or attributes bringing content that is truly unique to each customer without writing any code.,Personalize sections of content to a specific segment or attribute.Personalize images to a specific segment or attribute.Target variation to any segment attribute or combination.View content variations in the email designer.,CE
Moments-based,Moments-based,Moments-based,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/planned-features,,,,,,,CE
Create individualized journeys by adding conditions based on attributes captured as part of the event trigger,Create individualized journeys by adding conditions based on attributes captured as part of the event trigger,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/create-individualized-journeys-adding-conditions-based-attributes-captured-as-part-event-trigger,,,Feb 2022,Apr 2022,Dynamics 365 Marketing enables you to trigger journeys using a large catalog of event triggers including out-of-the-box triggers and custom triggers that you create. Now you can also control what type of action that causes an event trigger should qualify a customer for a journey. For instance to re-engage buyers who have abandoned carts you may only qualify buyers who have more than $20 in their cart for a journey that gives a $10 coupon incentive. This feature eliminates the need for a developer to add qualifying logic where the event trigger happens (the cart page in the above example) empowering you and your marketing team to more flexibly reuse the same event trigger for a variety of scenarios.,Add one or more filter conditions on top of an event trigger to further qualify who can enter a customer journey.Gain more control over your journeys by filtering triggers that are used to start exit branch or measure journey goals.,CE
Continue the conversation with your customers by taking action on their SMS replies,Continue the conversation with your customers by taking action on their SMS replies,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/continue-conversation-customers-taking-action-their-sms-replies,,,Mar 2022,Apr 2022,SMS allows you to quickly communicate with your customers. However its not enough to just send messages out you also need to act on their responses. Now you can interact with your customers by creating journeys based on their replies to your SMS messages. Easily create custom keywords and add them to your messages and journey branches to continue the conversation with your customers.,Allow your customers to respond to your SMS messages. Personalize their experience by definingcustom keywords thatwill guide their journey basedon their responses.  Set up communication keywords in a unified SMS admin experience.Define how keywords will be used in the journey.Set up a default SMS reply for unrecognized keywords.Fuzzy matching and semantic analysis of keywords.,CE
Easily create journeys to send reminders encouraging customers to respond to a call to action,Easily create journeys to send reminders encouraging customers to respond to a call to action,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/easily-create-journeys-send-reminders-encouraging-customers-respond-call-to-action,,,Apr 2022,Jun 2022,You can now create more action-oriented customer journeys reminding the customer until they complete the call to action. This feature eliminates the need to create cascading branches that check for the qualifying action after each step or to specify conditions with more than two possibilities. This simplifies not only the journey logic and creation but also analysis when journeys are live.,For instance an abandoned shopping cart journey starts with customers adding items to a shopping cart. Using the reminder feature if a customer abandons the cart the journey can remind them to check out and send multiple messages including messages with certain offers until they check out. Similarly a customer that has started registering for a conference can be reminded to complete registration until they finish it or until the registration window closes.  You can also create more than two branches at any given step in the journey creating more fine-grained personalization and engaging each customer differently based on their unique profile and behavioral signals. In addition you can merge the branches back so that customers can continue the common journey steps after going through their specialized branch.,CE
Target the right contacts and leads using the reimagined easy-to-use segmentation builder,Target the right contacts and leads using the reimagined easy-to-use segmentation builder,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/marketing/dynamics365-marketing/target-right-contacts-leads-using-reimagined-easy-use-segmentation-builder,,,Jun 2022,To be announced,To improve marketing return on investment it's important to target the right audience. This can often be complicated requiring marketers to understand database and SQL concepts and operators. The new segmentation builder simplifies segment creation and empowers you to build segments for your campaigns without requiring assistance from data analysts or scientists no matter how complex the logic. You can build segments on leads without requiring the lead to have a parent contact. You can then market to these leads directly using customer journeys. Finally the segmentation builder enables you to take an iterative approach to building the segment logic through member previews that populate as you build the segment.,Directly create segments based on attribute data for both contacts and leads.Discover and search across all attributes in the right pane and add them to your queries.Preview and estimate the number of segment members as part of your segment creation process.,CE
Sales,Sales,Sales,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/,,,,,,,CE
Dynamics 365 Sales,Dynamics 365 Sales,Dynamics 365 Sales,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/,,,,,,,CE
Conversation intelligence,Conversation intelligence,Conversation intelligence,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Get the right insight at the right time at the right place,Get the right insight at the right time at the right place,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/get-right-insight-at-right-time-at-right-place,,,May 2022,Sep 2022,With conversation intelligence in Dynamics 365 Sales your sellers already have access to tools for more productive and efficient customer engagements. But for this to be truly effective the data and insights gathered from conversations need to be presented where your sellers spend most of their timeand at the right time and in the right context. In this release we are making conversation intelligence more discoverable while breaking down the silos between the Sales Insights Add-in for Dynamics 365 Sales experience and the Dynamics 365 Sales app. With improved collaboration and a new powerful search your sellers can better take advantage of the full value of conversation intelligence.,Discoverability  Increasing conversation intelligence discoverability within Dynamics 365 and surfacing relevant and valuable tools and insights at the right time in the sellers workflow.Introducing in-app notifications and emails to make sure sellers and managers don't miss valuable insights and follow up on their commitments.  Break the silos  Bringing the valuable strategy and coaching dashboards from Sales Insights into Dynamics 365 to introduce value where sellers and managers spend their days.  Collaboration  Enabling comments mentions and sharing of conversation intelligence artifacts will make it an integral part of sellers' and managers' day-to-day work and contribute to coaching and collaboration culture.  Powerful search  A powerful search and filter toolset over conversation intelligence and Dynamics 365 rich data will help sellers and managers get even more valuable insights out of conversation intelligence's most valuable assetthe call recordings and insights.,CE
Facilitating digital selling,Facilitating digital selling,Facilitating digital selling,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Experience sales accelerator conversation intelligence and predictive scoring with Dynamics 365 Sales Enterprise license,Experience sales accelerator conversation intelligence and predictive scoring with Dynamics 365 Sales Enterprise license,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/experience-sales-accelerator-conversation-intelligence-predictive-scoring-dynamics-365-sales-enterprise-license,,,-,Apr 2022,Sellers today need digital tools to meet growing customer expectations. Selected Dynamics 365 Sales Premium features will be available to customers with a Dynamics 365 Sales Enterprise license to help showcase the value with a defined monthly capacity limit. Conversation intelligence sales accelerator and predictive scoring for lead and opportunity use AI to help sellers prioritize their worklist provide real-time analysis during calls automate action notifications and programmatically generate meeting summaries. Sellers take advantage of these offerings to gain insight reduce manual efforts and improve data quality.,Enabled through the Sales Hub app each feature can be activated and configured from the App Settings area. Grouped under Digital Sales we have a new Get Started site map entry to set up each feature and configure as per your business needs. Each of the premium features will have a capacity limit as follows:  Users who access and use conversation intelligence will be able to do so with three hours per user per month.Sales accelerator provides access to the workspace and up to 1500 records connected to any defined sequence per environment per month.View up to 1500 leads or opportunity records scored per environment per month with predictive scoring.Access to view capacity usage monitoring will also be provided.  NoteTeams collaboration is also accessible from the new Get Started site map entry.If you require more capacity than the limited ones you can purchase the Dynamics 365 Sales Premium license.If you do not find the Sales Hub app within your tenant install the Sales solution by following the steps mentioned at: Install the Sales solution,CE
Sales Hub is now preinstalled on all environments,Sales Hub is now preinstalled on all environments,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/sales-hub-now-pre-installed-all-environments,,,-,Apr 2022,Sales Hub is a Microsoft app designed and configured for ideal seller experiences. The built-in Sales Hub app comes configured with several core sales and sales insights features to help you get started quickly. The app has a modern and interactive interface designed to simplify your day-to-day sales activities. It shows you all the vital information in one place and lets you focus on the key activities that require your attention. Sales Hub is based on the Unified Interface framework which is adaptable and accessible.To ensure all our customers can benefit from the new and innovative Dynamics 365 Sales capabilities we are making Sales Hub available and preinstalled in all existing and new environments.,If your organization already has the Sales Hub model-driven app installed there will be no changes. If not the Sales Hub app will be preinstalled in your environment and set to be visible only to users with the following security roles:  System administratorSystem customizerSales Enterprise app accessSalespersonSales managerVice president of sales  As an administrator you can:  Decide which users or security roles should have access to the Sales Hub app. The app will honor the access permissions defined in the security role of the user.Quickly enable new and innovative Sales Premium capabilities.  As a seller or manager you can:  Access the Sales Hub app from the Published Apps page once access is granted.,CE
Forecasting and pipeline intelligence,Forecasting and pipeline intelligence,Forecasting and pipeline intelligence,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Assign attributes per sales stage to improve predictive score accuracy,Assign attributes per sales stage to improve predictive score accuracy,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/assign-attributes-per-sales-stage-improve-predictive-score-accuracy,,,-,Apr 2022,By assigning the relevant sales stages to each attribute that trains the model the accuracy of the predictive scoring model is improved. Furthermore users can view statistics on how the attributes impact the model at each stage of the sales lifecycle. This helps the administrators in assigning the attributes to the correct sales stages.,As an administrator you can:  Activate the per-stage modeling feature from the Add model page.Select the attributes you want to use for training the model and select the relevant stages for each attribute from the Edit model page.View the impact of each attribute on the model per stage by selecting the link in the Prediction influence column on the Edit model page.,CE
Streamline your forecasting workflow with default experiences,Streamline your forecasting workflow with default experiences,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/streamline-forecasting-workflow-default-experiences,,,-,Apr 2022,Sales operation teams want to design an efficient forecasting experience for their sellers so that they can quickly access their sales projections and opportunities. With default views administrators can set default selections that the sellers would see on the forecast page. This helps streamline their experience and free up time for them to spend meeting with customers and closing sales.,As an administrator you can make the following default selections in the forecast configurations:  Setting the default drill-down.Setting the default group-by.Setting Kanban as the default over the underlying record grid.Keeping the last selected or viewed forecast as default.Setting the default forecast configuration for your users.,CE
Filter the underlying opportunities of a forecast,Filter the underlying opportunities of a forecast,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/filter-underlying-opportunities-forecast,,,-,Apr 2022,Sellers in an organization may have to manage a large volume of opportunities and make updates on a regular basis. Being able to quickly find and update the right opportunities is critical for keeping the organization's records current while also increasing the time sellers have for doing other activities such as working on a new deal or closing a sale.,As a sales manager or seller you can toggle column-level filter controls to further filter relevant opportunities in the underlying records grid.,CE
Monitor stagnated deals and how they impact the predictive score,Monitor stagnated deals and how they impact the predictive score,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/monitor-stagnated-deals-how-they-impact-predictive-score,,,Jan 2022,Apr 2022,Within a sales organization sellers are juggling a multitude of different leads and opportunities simultaneously. There's a risk of sellers losing a deal if they don't attend to it in a timely fashion. Sellers need to know the number of days since the deal has moved to the current stage and how the stagnation of the deal impacts the predictive score of the deal. This analysis will help them take appropriate actions to move the deal.,As a seller you can:  Access an analysis in the predictive scoring widget that helps you understand the number of days since the deal has moved to the current stage and if its at risk of harming the predictive score.Access a deal's historical data on the number of days the deal stayed at each stage by selecting the Details link in the predictive scoring widget. This helps to benchmark the deal against other deals.,CE
Measure the performance of predictive scoring model with accuracy reports,Measure the performance of predictive scoring model with accuracy reports,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/measure-performance-predictive-scoring-model-accuracy-reports,,,-,Jun 2022,By validating the AI predictions with actuals you will gain more confidence about the accuracy of the AI-driven insights. This helps you to convey and convince the leadership team and sellers to adopt the model and motivate them to use the AI models insights more often for improved business outcomes.,As a sales operation team member you can:  Access the chart on the Model configuration home page of the predictive score to view the models predicted success rate versus the actual results.Compare the business outcomes before and after using the model with the help of historical data.,CE
Update quotas quickly with inline editing and quota rollups,Update quotas quickly with inline editing and quota rollups,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/update-quotas-quickly-inline-editing-quota-rollups,,,-,Jul 2022,When planning for an upcoming sales period organizations may need to access various sources for quota information which can be difficult to pull into the forecast module. By providing the ability to edit quotas and simple columns inline team members with the most current information can seamlessly update forecasts in seconds.Furthermore sometimes quotas for managers and leaders are simply rollups of all their teams' quotas. Instead of manually entering these you can now set these quotas (and simple columns) as rollups for auto-calculating.In addition a manager's quota often needs to remain current as sellers may move from team to team and take their quota with them. A new capability to roll up a simple column will allow managers to see constantly updated views of their quotas.,As an administrator you can:  Enable inline editing of quotas directly in the forecast configuration.Determine if quotas should be rolled up across the hierarchy in the forecast configuration.  As a manager or seller you can:  Edit quotas and simple columns directly inline in the forecast grid.,CE
Compare annual projections with actual progress over multiple periods,Compare annual projections with actual progress over multiple periods,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/compare-annual-projections-actual-progress-over-multiple-periods,,,-,Sep 2022,Your sellers and managers need a high-level view of their projections to ensure that annual projections meet the company's sales objectives and to know if the progress completed to date is nearing expectations. Your sellers will be able to select a view of their projections that spans multiple periods.,As an administrator you can enable the capability for sellers to toggle a full year and year-to-date view of their forecast.  As a sales manager or seller you can switch to a high-level view of your organizations annual projections and visually compare that with your year-to-date performance from period to period.,CE
Support for yearly and weekly forecast periods,Support for yearly and weekly forecast periods,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/support-yearly-forecast-periods,,,-,Sep 2022,Some organizations track their sales objectives on an annual or weekly basis. Previously forecasts could only be configured on a monthly or quarterly basis. With this enhancement forecasts can be configured to span the whole year or weekly by selecting a yearly or weekly forecast period in the forecast configuration.,As an administrator  you can configure a forecast that spans a whole year by selecting the yearly period option in the forecast scheduling section. Your sellers then have access to their full year projections and opportunities in a single forecast view.  As an administrator you can also configure weekly forecast periods in the forecast scheduling section. Sellers can then view sales projections for weekly periods.,CE
Mobile,Mobile,Mobile,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Capture mobile phone contacts and recent calls,Capture mobile phone contacts and recent calls,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/capture-phone-book-contacts-recent-calls,,,Aug 2022,Sep 2022,Streamline data capture by integrating your mobile users' contacts and recent calls so those who call customers directly from their phone can get the information logged into Dynamics 365 Sales. By allowing your salespeople to create contacts based on their mobile phone contact lists and logging their recent calls with customers you can reduce the friction between your sales team's actions and the captured data while increasing the completeness and value of the information stored in Dynamics 365 Sales.,Easily capture phone contacts and make them part of Dynamics 365 Sales with one click.Easily log calls from a mobile phone's recent calls.,CE
Effortlessly log information using the mobile phone camera,Effortlessly log information using the mobile phone camera,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/effortlessly-log-information-using-mobile-phone-camera,,,Aug 2022,Sep 2022,Sellers can spend too much time manually logging essential information in Dynamics 365 Sales. In this release we improve how sellers can use their phone camera to intelligently extract information from business cards and handwritten notes and then associate the captured information to the corresponding record or activity. This increases data quality and completeness and frees your sellers to focus more on building relationships and winning deals.,Improved experience for capturing business cards with better models more languages and better user experience.Scan handwritten notes using the phone camera and get the text digitized into Dynamics 365 Sales.,CE
Outlook deep-link integration with templates autofill and emails to meeting participants,Outlook deep-link integration with templates autofill and emails to meeting participants,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/outlook-deep-link-integration-templates-autofill-emails-meeting-participants,,,Aug 2022,Sep 2022,Sellers communicate with their customers by email through Outlook often doing that directly from their phone. Each interaction is full of business-related information from Dynamics 365 Sales and unfortunately sellers need to switch back and forth between apps to pull relevant information to include in their communications. In this release we improvethe Dynamics 365 Sales mobile app to provide deep-link integration with Outlook and make it context-aware. This will reduce the amount of manual work and the switch between apps your user has to do when authoring an email to customers.,Email composer deep links directly into Outlook.Support for email templates when composing emails.Autofill relevant information from the Dynamics 365 Sales mobile app in Outlook emails to save time.,CE
Relationship intelligence,Relationship intelligence,Relationship intelligence,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Discover accounts and contacts from email interactions,Discover accounts and contacts from email interactions,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/discover-accounts-contacts-email-interactions,,,Apr 2022,-,Sellers interact with contacts every day over email. Unless the seller manually creates these contacts in Dynamics 365 this data can remain hidden in the email server. With this enhancement your sellers can query their entire network based on interactions gleaned from Dynamics 365 and Exchange in order to uncover hidden relationships obtain warm introductions into target accounts and accelerate opportunities by locating additional key stakeholders.,As a seller you can:  Query for accounts that you and your colleagues have interacted with over email and uncover all known contacts at those accounts.Query for contacts that you and your colleagues have interacted with over email and uncover colleagues who have connections with those contacts.View an interaction score that tells you how well your organization is connected to an account or contact or how strong the relationship is between an external contact or colleague.Access a summary of the relationship between your organization and other organizations or individual contacts.,CE
Sales accelerator and process automation,Sales accelerator and process automation,Sales accelerator and process automation,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/planned-features,,,,,,,CE
Choose the right engagement plan for your customers,Choose the right engagement plan for your customers,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/choose-right-engagement-plan-customers,,,-,Apr 2022,Automation has proven to help sellers be more effective. Dynamics 365 Sales now provides flexible ways to assign the best cadence to the best customer including seller-driven cadence selection. This helps your sellers feel more empowered to drive tailored experiences that emulate their style best.,In the sales accelerator workspace:  Sellers have the ability to define their own sequence based on their personal preference.Sellers can view and choose from the list of available sequences to suit specific business needs.,CE
Personalize the prioritized worklist using advanced filtering,Personalize the prioritized worklist using advanced filtering,,,,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2022wave1/sales/dynamics365-sales/personalize-prioritized-worklist-using-advanced-filtering,,,-,Apr 2022,Every seller has a way of working that can be different. Advanced filtering capability helps your sellers quickly arrive at a personalized worklist to work from. Your sellers can use their preferred parameter based on the business scenario to arrive at the correct set of worklist items. Sales engagement managers (SEMs) will have the flexibility to provide users with the right filtering and sorting parameters based on the unique business needs.,This functionality will enable your sellers to easily filter information based on standard as well as custom fields. The functionality can be enabled from the settings where SEMs can define filters relevant for business scenarios. SEMs will be able to extend the current filter based on the following:  Standard fieldsCustom fieldsCombination of fields  Your sellers will then be able to personalize and choose these filters.,CE
