Product,Category,SubCategory,FeatureType,FeatureTitle,BusinessValue,FeatureDetails,ReleaseWave,PublicPreview,DateAvailable,ImpactLevel,BusinessAndProfessionalServices,FoodAndBeverage,Retail,CPG,Government,FinancialServices,LifeSciences,NonProfit,Gaming,HealthCare,Industrials,RealEstate,Technology
BC,Dynamics 365 Business Central,Application,,Item variant code on demand forecasts,Accurate demand forecasting gives businesses valuable insight into their position in the market which helps decision makers shape their strategies for pricing business growth and market potential. The ability to include the right level of detail on item variants in demand forecasts unlocks planning capabilities and reduces lead times for companies that don't have an inflow of sales orders and manage many nearly identical items.,Item variants are a great way to keep your list of items under control especially if you have a large number of items that are almost identical and vary for example only in color. Rather than setting up each variant as a separate item you can set up one item and then specify the various colors as variants of the item. In this release you can register anticipated demand not only with respect to locations and dates but with item variants as well.  This unlocks planning capabilities for companies that don't have a steady inflow of sales orders and operate using large lists of almost identical items.  We also plan to enable Edit in Excel for Demand Forecast Entries so that it's easier to create and update demand forecasts.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Create a Demand Forecast (docs),2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Keep track of historical IBAN number when vendor bank account number changes,Changing the IBAN on vendor bank accounts that have already been transacted with can cause historical credit transfer register entries to appear as missing because Business Central cannot find the IBAN for the entries.,You can now safely change IBAN numbers on vendor bank accounts without it affecting your historical credit transfer register entries. Credit transfer register entries now store the Recipient IBAN Recepient Bank Account No. that were specified in the Vendor Bank Account and Recipient Name fields on the Vendor card when the entries are created.      NoteNo action is needed from existing customers as the upgrade to 2021 release wave 2 will fill in these fields in their existing Credit Transfer Reg. Entries automatically.  Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Register New Vendors (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,List of trusted partner apps,,With a large number of apps available on AppSource and with business continuity in mind customers might not want to install an app directly from AppSource until they know the app won't interfere with their business. With this release wave partners can preload a list of apps into the customer's system to help the customer choose apps that are relevant for their business industry and growth. By proxy of the partner customers can safely install apps that have been preselected for them.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Locations for non-inventory items,Now you can track statistics for non-inventory items by location in the same way as inventoriable items or resources. This gives you better insight into for example the location for which a service was purchased.,Based on your feedback we have aligned service items and non-inventory items with other types such as G/L accounts item charges and fixed assets. You can now specify a location for these types of items in supported transactions and the location will be copied in the item ledger values and job ledger entries. This is useful for reporting purposes and cases when there is one document such as a purchase order with multiple non-inventory items meant for different locations.  NoteWarehouse operations are not supported for service and non-inventory items.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    About Item Types (docs),2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,More control over address information data entry,Typically businesses use an external service that was built to validate address information in their country or region. When you need to update address information the structured approach that these services use may not always be what's right for some scenarios. Therefore Business Central now offers a more flexible means of entering address details.,You can set the Require Country/Region Code in Address by selecting this field on the General Ledger Setup page. When this field is selected because the address format is related to the selected Country/Region changes to Country/Region Code field on addresses for customers contacts or vendors will reset the values in other address fields.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Changing Language and Region (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,More control over currency exchange rate adjustment,When companies operate in multiple countries or regions it's important that they can do business and run financial reports in more than one currency. Because exchange rates often change businesses must periodically update the rates in Business Central. This feature update gives accountants more control over how they adjust exchange rates.,You can now run exchange rates adjustments only for selected customers vendors or bank accounts using the Adjust Exchange Rates batch job where you simply select whether to adjust exchange only for a customer or bank account and then use the filter options to select the specific customers vendors or bank accounts for which to adjust exchange rates.      Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Update Currency Exchange Rates (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,New automation API to create user groups,,The new API plays a part in the initial deployment of a customer environment together with the other Automation APIs that allow for a scripted creation of the environment company application of configuration packages user permissions and more.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Production BOMs and routes on stockkeeping units in planning scenarios,Many businesses use stockkeeping units (SKUs) in their inventory management processes. Because SKUs often contain important information about the items they're also valuable in production processes. You can leverage the information from SKUs by assigning them to production bills of material (BOMs) and routes. Additionally it's easy to update the BOM and route on SKUs. You can simply specify a BOM and route on an item and they will be assigned to the SKU.,We have increased the number of business processes that take into account the values in the Production BOM and Production Routing fields defined on SKUs. These include the following processes:  Capable-to-promise called from sales orders.Planning worksheet including the Calculate Net Change Plan Calculate Regenerative Plan and Get Action Messages actions.Order planning.  By default the Production BOM and Production Routing fields are available on SKUs.  NoteWhen you create a SKU the production BOM and route are copied from the item to the SKU. If you have many SKUs but only one BOM or route it's easy to update your SKUs. Just remove the production BOM or production route on the SKUs and they'll use the default values from the items.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Production planning (docs),2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Remove obsolete reports 204 205 206 and 207,We've removed several reports in favor of newer versions. Enjoy modern report layouts that are easier to customize and faster to generate by using the reports that are based on layouts from Microsoft Word. Your external-facing documents such as invoices and orders will benefit from the switch.,Before 2021 release wave 1 we announced that we were planning to replace several reports with newer versions and now it's time for the final cleanup. The 2021 release wave 1 was the last release in which the following reports were available.  Deprecated reportRecommended report204 Sales - Quote1304 Sales - Quote205 Order Confirmation1305 Sales - Confirmation206 Sales - Invoice1306 Sales - Invoice207 Sales - Credit Memo1307 Sales - Credit Memo  If you still use one or more of the deprecated reports now is the time to take the following actions:  Start using the recommended reports. These support Word layouts.Clone the deprecated reports to a custom range and switch to the cloned reports.  How to check if your company uses old reports  Report Selections  Sales  Search for Report Selection  Sales and check which reports are configured to be used for Quote Order and Credit Memo.  Customer report layouts  Inspect the content of the Custom Report Selection table (object ID 9657). For more information see View a table object directly from the client.  Once you know which customers use these reports you can replace them on the Document Layout page for each affected customer or you can use configuration packages to update in bulk.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Rounding for base unit of measure,You can assign a base unit of measure to items but sometimes items serve more than one purpose and are sold received or consumed in different measures in sales purchase and production processes. That means it's important to be able to handle items in alternate units of measure depending on the process and accurately convert those measures to the base unit of measure.,You can specify a rounding precision for base units of measure to guide users on what to enter for a given business process and reduce rounding issues when using alternate units of measure.  When an item serves different purposes you can set up alternate units of measure for it. The base unit of measure for the item defines how you store it and the alternate units of measure define how you handle it in purchase production or sales documents. For example you may buy the item on pallets and only use single pieces in production.  When you use alternate units of measure the value in the Qty. per Unit of Measure field helps calculate the quantity in base unit of measure which can lead to rounding issues.  For example you're receiving 1 box that contains 6 items from your supplier. When the items arrive at the warehouse you discover that 1 of the 6 items is missing. You decide not to post the receipt of 1 box but to change quantity to 5/6 pieces instead. That will be converted to a receipt of 4.99998 pieces. To receive a whole number the Quantity Rounding Precision field lets you specify a value that will for example convert the quantity to 5 pieces.        Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Set Up Units of Measure (docs),2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Tour of Business Central to help users know the basics,,Since 2021 release wave 1 you've been able to provide educational tours to guide users through the application. But until now the tours were limited to pages and controls that are defined by the AL language. With 2021 release wave 2 we expand the use of these tours so they also can include teaching tips that are defined by the platform to call out system controls such as the top navigation bar and sorting and filtering controls. Additionally these tours can provide an introduction to and better understanding of the home page as a concept. In all this will allow the user to learn the basics of the Business Central user interface.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Sep 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Unlock time sheets in Business Central using assisted setup and data entry on mobile devices,Getting to that first time sheet entry should be as painless as possible. Many employees use time sheets and as the time sheet administrator or manager you want to make sure that Business Central has you covered when you create time sheets for the first time or you add an employee or resource to record the time spent on tasks.A busy professional on the road using mobile devices (Android or iOS) needs to be able to provide time sheet entries in an easy and productive way while on the go.,You can now use the Set Up Time Sheets assisted setup guide to help you set up time sheets and specify the participants in the process. Participants include the time sheet administrator the employees or resources who register time and the approvers.    Self-service activities on role centers such as the Team Member home page have now been updated to include the Open Current Time Sheet action that takes the user to the latest time sheet in their Open Time Sheets page.    The Time Sheet page is now more focused to allow users to name a particular time sheet as they want making the caption more prominent and showing key information about the time sheet. The page now clearly indicates units of measure together with totals.    The Time Sheet page has been converted from a worksheet to a document page which makes it available on Business Central mobile devices (Android or IOS).  Mobile users can now add time-related entries to register time spent on tasks. They are no longer blocked by having to switch to a complex user interface on a desktop device. Users now have access to a simplified version of the experience designed for mobile.      NoteYou must have the Feature Update: New time sheet experience feature enabled in the Feature Management page to use this capability.  Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Set Up Time Sheets (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Use multiple units of measure when synchronizing items and resources to Dynamics 365 Sales,Businesses often track inventory for items in one unit of measure such as pieces but due to different market needs they may sell the items in several different units of measure such as boxes or containers. Integration between Business Central and Microsoft Dynamics 365 Sales now allows these services to exchange information about items in multiple units of measure.,When you enable the Feature Update: Multiple Units of Measure Synchronization with Dynamics 365 Sales feature in Feature Management Business Central will create unit groups for items and resources through the data update process.  You can now view two new integration table mappings for Item Units of Measure (ITEM-UOM) and Resource Units Of Measure (RESOURCE-UOM).    Item or resource unit groups automatically generate sets of units of measure for items and resources that match the units in Dynamics 365 Sales. On the Item Unit Group List or Resource Unit Group List pages you can view coupled unit groups by choosing the Unit Group action you can synchronize unit group data by using the Synchronize action and couple or delete unit groups by choosing Coupling Set up coupling or Delete coupling.    From the Item Units of Measure and Resource Units of Measure pages for each units of measure in a unit group you can now view the coupled unit by choosing the Unit action use the Synchronize action to synchronize unit data or couple or delete a coupling by choosing Coupling Set up coupling or Delete coupling.      NoteYou need to have the Feature Update: Multiple Units of Measure Synchronization with Dynamics 365 Sales feature enabled in Feature Management to use this capability.  Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  Thank you for your idea  Thank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.  See also    Synchronization Rules (docs),2021 Wave 2,Sep 1 2021,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,More educational app tours for standard roles,Businesses want to onboard new employees quickly and efficiently and one of the ways that Business Central supports that is by offering in-product tours that point out the information and tools that people need in their business role. In this release we're adding tours to even more areas of the application.,With 2021 release wave 1 Business Central started surfacing extensible in-product tours that help users understand important concepts and business entities. In 2021 release wave 2 we've expanded support for onboarding business roles by adding built-in tours that cover even more standard entities. The new tours will reduce friction in the learning and startup phase and can be viewed or revisited on demand.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Oct 2021,Nov 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Application,,Delegated admin can create job queue entries and request approval by a licensed user,The delegated admin role enables Microsoft partners to set up and manage certain aspects of Business Central on behalf of their customers. The role is however limited in some ways. Among these limitations is the ability to create job queue entries and set them as ready to run for customers. Job queue entries are important tools for setting up and configuring Business Central tenants. Delegated admins can create job queue entries and request approval from a licensed user.,Business Central provides the delegated admin role so that people who are not employed by the customer typically Microsoft partners can set up and configure business processes for the customers. The delegated admin role is not however a licensed user in Business Central and often is only assigned temporarily so there are some limitations to what they can do. For example delegated admins cannot set up tasks that might be run after the delegated admin relationship has been revoked such as job queue entries.  That has been problematic because job queue entries are useful tools for running setup and configuration processes in Business Central and delegated admins need to be able to create and run them in their customer's tenant. In this release delegated admins can create job queue entries and set them as ready to run. Then a licensed user from the customer can start the job queue entry to complete the process that the delegated admin created.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.  See also    Delegated Administrator Access to Business Central Online (docs),2021 Wave 2,Sep 2021,Nov 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Better with Microsoft 365,,Enhancements to Microsoft Teams integration,The Business Central app for Microsoft Teams connects Teams to your business data so you can quickly share details with your team connect with your business contacts and respond faster to inquiries.,The 2021 release wave 2 includes the following improvements to the Business Central app for Teams:  New sign-up experience for users who are installing the app but don't have a Business Central subscription. Users will be redirected to a page where they can read about and sign up for a trial subscription.Two new ways of sharing data between Business Central and Teams. For more information see the following related features of this release: AL API for sharing files in Microsoft 365 and Share a link to any record directly from Business Central to Microsoft Teams.,2021 Wave 2,-,Oct 2021,,,,,,,,,,,,,,
BC,Dynamics 365 Business Central,Better with Microsoft 365,,Centralized Deployment of Office add-ins,The security of your business data is important to us. Administrators are in control of how Office add-ins for Business Central are deployed to individuals groups or the entire organization by using best-of-breed compliance and policy settings in Microsoft 365.,When getting started with Business Central assisted setup wizards will guide administrators through the process of configuring the Business Central Office add-ins.  Excel add-in  The new Centralized Deployment assisted setup will guide administrators through the manual task of configuring Microsoft 365 to deploy add-ins to select users within the organization when individual acquisition from the Office Store has been turned off.  Outlook add-ins  The Centralized Deployment assisted setup for Outlook add-ins replaces the earlier Business Inbox setup wizard. The new assisted setup will walk administrators through the manual task of configuring Microsoft 365 or Exchange Server to deploy add-ins to select users within the organization.  To support improved security in Exchange and take advantage of custom Exchange policy the assisted setup no longer automates deployment by using legacy basic authentication.    Tell us what you think  Help us improve Dynamics 365 Business Central by discussing ideas providing suggestions and giving feedback. Use the forum at https://aka.ms/bcideas.,2021 Wave 2,Aug 1 2021,Oct 2021,,,,,,,,,,,,,,
