NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult,PublicPreview,GeneralAvailability,BusinessValue,FeatureDetails,HeaderDetails,ParentNodeName
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1507562099.html#subsect_163697829447,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1545138020.html#subsect_164846051519,,,,,,,,FS
Online Donations Now Available in SuiteApp Marketplace,Online Donations Now Available in SuiteApp Marketplace,Online Donations Now Available in SuiteApp Marketplace,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1545138020.html,,,,,,,,FS
Online Donations Now Available in SuiteApp Marketplace,Online Donations Now Available in SuiteApp Marketplace,Online Donations Now Available in SuiteApp Marketplace          Online Donations SuiteApp version 1.00.0 is now available for installation from the SuiteApp Marketplace. The Online Donations SuiteApp provides a template for capturing online donations on your organization's nonprofit website. You can integrate online donation directly to NetSuite and receive online donation payments using the NetSuite Payment Link feature.          The SuiteApp also supports anonymous donations and tracking of recurring online donations in NetSuite.          For more information see Online Donations.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1545138020.html,,,,,,,Online Donations Now Available in SuiteApp Marketplace          Online Donations SuiteApp version 1.00.0 is now available for installation from the SuiteApp Marketplace. The Online Donations SuiteApp provides a template for capturing online donations on your organization's nonprofit website. You can integrate online donation directly to NetSuite and receive online donation payments using the NetSuite Payment Link feature.          The SuiteApp also supports anonymous donations and tracking of recurring online donations in NetSuite.          For more information see Online Donations.,FS
Custom Segments Update in Labor Expense Allocation Preferences,Custom Segments Update in Labor Expense Allocation Preferences,Custom Segments Update in Labor Expense Allocation Preferences          Previously on the Labor Expense Allocation Preferences page you need to individually check each box for the custom segments in which the expenses need to be allocated.          In Labor Expense Allocation SuiteApp version 1.00.3 custom segments checkboxes are replaced with a multi-select field labeled as Custom Segments on the Labor Expense Allocation Preferences page. New custom segments columns are automatically shown on the NFP Employee Timesheet and Pay Type Allocation records based on your custom segment record preference.          For more information see Setting Up Labor Expense Allocation Preferences.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1545138020.html,,,,,,,Custom Segments Update in Labor Expense Allocation Preferences          Previously on the Labor Expense Allocation Preferences page you need to individually check each box for the custom segments in which the expenses need to be allocated.          In Labor Expense Allocation SuiteApp version 1.00.3 custom segments checkboxes are replaced with a multi-select field labeled as Custom Segments on the Labor Expense Allocation Preferences page. New custom segments columns are automatically shown on the NFP Employee Timesheet and Pay Type Allocation records based on your custom segment record preference.          For more information see Setting Up Labor Expense Allocation Preferences.,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1507562099.html#subsect_164931062835,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1545138020.html#subsect_163698073294,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1507562099.html#subsect_165059006057,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1507562099.html#subsect_165059066672,,,,,,,,FS
Accounting Testing,Accounting Testing,Accounting Testing,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html#subsect_162740206508,,,,,,,,FS
Advanced Localization Features Enhancements,Advanced Localization Features Enhancements,Advanced Localization Features Enhancements,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,,FS
Advanced Localization Features Enhancements,Advanced Localization Features Enhancements,Advanced Localization Features Enhancements          In Advanced Localization Features version 1.02 you can now use additional printing options to customize your invoices and credit memos.                                    Print Note if Theres No Payment Discount  Adds a note when payment discount is not applied.                                      Mark Document as Copy or Duplicate  Enables labeling the document as Copy or Duplicate.                                      Hide Total Incl. VAT Column  Hides the Total Incl. VAT Column from the printed invoice.                                You can customize the label of printed invoices and credit memos using the Use Popup for Email Transaction Button.          For more information see Advanced Localization Features.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,Advanced Localization Features Enhancements          In Advanced Localization Features version 1.02 you can now use additional printing options to customize your invoices and credit memos.                                    Print Note if Theres No Payment Discount  Adds a note when payment discount is not applied.                                      Mark Document as Copy or Duplicate  Enables labeling the document as Copy or Duplicate.                                      Hide Total Incl. VAT Column  Hides the Total Incl. VAT Column from the printed invoice.                                You can customize the label of printed invoices and credit memos using the Use Popup for Email Transaction Button.          For more information see Advanced Localization Features.,FS
Australia Payment Times Report,Australia Payment Times Report,Australia Payment Times Report          The ANZ Localization SuiteApp version 2.0.0 includes the following enhancements:                                                    Payment Times Report Generation                                                                    Payment Times Report Configuration                                                          Payment Times Report Generation            You can now generate the Payment Times Report (PTR) for submission to the Payment Times Reporting Portal.            The PTR is a legislative requirement for large businesses in Australia that have trade credit arrangements with small businesses. It reports the payment terms and practices of your small business suppliers.            You must submit the PTR within three months after the reporting period. The Payment Times Reporting Portal requires the following:                                          CSV file containing the payment information                                            Word or PDF file containing signatures and associated declarations                                      On the Country Tax Reports page in NetSuite you can generate the PTR and then export the CSV file and the Word (.doc) file. PDF is not yet supported.            The Australian government requires you to submit the Payment Times Report in Australian dollars (AUD). If your subsidiary in Australia uses a currency that is not AUD you must set up your account to convert your transaction currency to AUD.            For more information about what you need to do before generating a PTR see Payment Times Report (PTR).                                Payment Times Report Configuration            The ANZ Localization SuiteApp provides the Payment Times Report Configuration page where you must provide information needed for generating the PTR. The configuration page contains the following subtabs:                                          Entity &amp; Approval Information  Contains fields for entity submitter and approver details.                                            Payment Details  Contains fields for payment period practices and arrangements and supply chain financing.                                            Others  Contains fields for changes in accounting period business name and comments related to the report.                                      For more information see Payment Times Report Configuration.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,Australia Payment Times Report          The ANZ Localization SuiteApp version 2.0.0 includes the following enhancements:                                                    Payment Times Report Generation                                                                    Payment Times Report Configuration                                                          Payment Times Report Generation            You can now generate the Payment Times Report (PTR) for submission to the Payment Times Reporting Portal.            The PTR is a legislative requirement for large businesses in Australia that have trade credit arrangements with small businesses. It reports the payment terms and practices of your small business suppliers.            You must submit the PTR within three months after the reporting period. The Payment Times Reporting Portal requires the following:                                          CSV file containing the payment information                                            Word or PDF file containing signatures and associated declarations                                      On the Country Tax Reports page in NetSuite you can generate the PTR and then export the CSV file and the Word (.doc) file. PDF is not yet supported.            The Australian government requires you to submit the Payment Times Report in Australian dollars (AUD). If your subsidiary in Australia uses a currency that is not AUD you must set up your account to convert your transaction currency to AUD.            For more information about what you need to do before generating a PTR see Payment Times Report (PTR).                                Payment Times Report Configuration            The ANZ Localization SuiteApp provides the Payment Times Report Configuration page where you must provide information needed for generating the PTR. The configuration page contains the following subtabs:                                          Entity &amp; Approval Information  Contains fields for entity submitter and approver details.                                            Payment Details  Contains fields for payment period practices and arrangements and supply chain financing.                                            Others  Contains fields for changes in accounting period business name and comments related to the report.                                      For more information see Payment Times Report Configuration.,FS
ANZ Localization Preferences and Supplier List Updates,ANZ Localization Preferences and Supplier List Updates,ANZ Localization Preferences and Supplier List Updates          To avoid possible conflicts with other SuiteApps the script IDs for the following fields in the ANZ Localization SuiteApp are changed in version 1.1.3.                                                                                          Page                                                        Field                                                        New Script ID                                                        Old Script ID                                                                                                                    ANZ Preferences                                                        ABN Verification Warning                                                        custrecord_anz_bn_verification_comp                                                        custrecord_bn_verification_warnings_comp                                                                                        Allow Override                                                        custrecord_anz_override_bn_warnings                                                        custrecord_override_bn_warnings                                                                                        Supplier ABN List Report                                                        Export File Name                                                        custrecord_anz_current_date                                                        custrecord_current_date                                                                                        Export File Name                                                        custrecord_anz_running_number_count                                                        custrecord_running_number_count                                                                                        Supplier List                                                        custrecord_anz_date                                                        custrecord_date                                                                                After the update the following values will reset:                                    Supplier list exported file name - The running number count used in the supplier list exported file name will reset. You can access the Supplier ABN List Report page at Setup &gt; ANZ Localization &gt; Supplier List. For more information see Generating a Supplier ABN List Report.                                      ANZ Preferences - The preferences on this page will reset to their default values. To set the values again for ABN Verification Warning go to Setup &gt; ANZ Localization &gt; Preferences. If applicable check the Allow Override box. For more information see Setting Up ANZ Localization Preferences.                                            Note:             If you have existing customizations that use any of the old script IDs you need to update these customizations to use the new script IDs after the SuiteApp is updated to version 1.1.3.                    In addition this update removes the duplicate vendor records from the Supplier ABN List Report page.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,ANZ Localization Preferences and Supplier List Updates          To avoid possible conflicts with other SuiteApps the script IDs for the following fields in the ANZ Localization SuiteApp are changed in version 1.1.3.                                                                                          Page                                                        Field                                                        New Script ID                                                        Old Script ID                                                                                                                    ANZ Preferences                                                        ABN Verification Warning                                                        custrecord_anz_bn_verification_comp                                                        custrecord_bn_verification_warnings_comp                                                                                        Allow Override                                                        custrecord_anz_override_bn_warnings                                                        custrecord_override_bn_warnings                                                                                        Supplier ABN List Report                                                        Export File Name                                                        custrecord_anz_current_date                                                        custrecord_current_date                                                                                        Export File Name                                                        custrecord_anz_running_number_count                                                        custrecord_running_number_count                                                                                        Supplier List                                                        custrecord_anz_date                                                        custrecord_date                                                                                After the update the following values will reset:                                    Supplier list exported file name - The running number count used in the supplier list exported file name will reset. You can access the Supplier ABN List Report page at Setup &gt; ANZ Localization &gt; Supplier List. For more information see Generating a Supplier ABN List Report.                                      ANZ Preferences - The preferences on this page will reset to their default values. To set the values again for ABN Verification Warning go to Setup &gt; ANZ Localization &gt; Preferences. If applicable check the Allow Override box. For more information see Setting Up ANZ Localization Preferences.                                            Note:             If you have existing customizations that use any of the old script IDs you need to update these customizations to use the new script IDs after the SuiteApp is updated to version 1.1.3.                    In addition this update removes the duplicate vendor records from the Supplier ABN List Report page.,FS
Belgium Localization Tax Reports Enhancements,Belgium Localization Tax Reports Enhancements,Belgium Localization Tax Reports Enhancements          Belgium Localization SuiteApp version 1.05.0 provides the following enhancements to SuiteTax-based reports:                                    VAT Return 625 XML export  The VAT Return 625 report can now be exported to XML. You can download the XML file from the Country Tax Report page where you generate the VAT report.                                      Updated XML file exports  The XML versions of the Belgium Intrastat Annual Client Listing and EU Sales List reports have been updated according to recent tax reporting standards. The update includes a fix in the formatting of certain information in the reports.                                For more information see Belgium Localization.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,Belgium Localization Tax Reports Enhancements          Belgium Localization SuiteApp version 1.05.0 provides the following enhancements to SuiteTax-based reports:                                    VAT Return 625 XML export  The VAT Return 625 report can now be exported to XML. You can download the XML file from the Country Tax Report page where you generate the VAT report.                                      Updated XML file exports  The XML versions of the Belgium Intrastat Annual Client Listing and EU Sales List reports have been updated according to recent tax reporting standards. The update includes a fix in the formatting of certain information in the reports.                                For more information see Belgium Localization.,FS
Belgium Localization Now Available in SuiteApp Marketplace,Belgium Localization Now Available in SuiteApp Marketplace,Belgium Localization Now Available in SuiteApp Marketplace          Belgium Localization SuiteApp version 2.00.0 is now available in the SuiteApp Marketplace. Previous versions of this SuiteApp are no longer supported. If you are using the SuiteTax feature installing this latest version prevents compatibility issues in your Belgium tax reports with NetSuite 2022.1 and later versions.          Belgium Localization SuiteApp version 1.05.0 or earlier is not automatically upgraded to version 2.00.0. To install this latest version from the SuiteApp Marketplace you must first uninstall the older versions of the SuiteApp (Bundle ID: 307195) from the SuiteBundler.          For more information see Belgium Localization.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,Belgium Localization Now Available in SuiteApp Marketplace          Belgium Localization SuiteApp version 2.00.0 is now available in the SuiteApp Marketplace. Previous versions of this SuiteApp are no longer supported. If you are using the SuiteTax feature installing this latest version prevents compatibility issues in your Belgium tax reports with NetSuite 2022.1 and later versions.          Belgium Localization SuiteApp version 1.05.0 or earlier is not automatically upgraded to version 2.00.0. To install this latest version from the SuiteApp Marketplace you must first uninstall the older versions of the SuiteApp (Bundle ID: 307195) from the SuiteBundler.          For more information see Belgium Localization.,FS
China Localization Enhancements,China Localization Enhancements,China Localization Enhancements          China Localization version 1.00.25Â adds enhanced support for China Voucher List Reports:                                    Additional reporting filters  You can now use the Vendor Customer and Employee fields as search filters when generating China Voucher List.                                      Additional reporting templates  You can see more information in the generated PDF and Excel files when exporting a China Voucher List Report. These new templates provide an increased character limit for the detail column and can include the vendor customer and employee information in the line item of the report.                                For more information see Generating the China Voucher List and Setting Up Preferences for China Voucher List.          To access these features you must install China Localization SuiteApp. For more information see Installing China Localization.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,China Localization Enhancements          China Localization version 1.00.25Â adds enhanced support for China Voucher List Reports:                                    Additional reporting filters  You can now use the Vendor Customer and Employee fields as search filters when generating China Voucher List.                                      Additional reporting templates  You can see more information in the generated PDF and Excel files when exporting a China Voucher List Report. These new templates provide an increased character limit for the detail column and can include the vendor customer and employee information in the line item of the report.                                For more information see Generating the China Voucher List and Setting Up Preferences for China Voucher List.          To access these features you must install China Localization SuiteApp. For more information see Installing China Localization.,FS
Contra Account Sheet,Contra Account Sheet,Contra Account Sheet          Starting version 1.2.1 Contra Account Sheet SuiteApp is available for installation from the SuiteApp Marketplace (Application ID: com.netsuite.kontenblatt). This SuiteApp enables you to generate transaction reports with contra account information.          Previously you can install the Contra Account Sheet SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.01 bundle ID: 314179) installed in your NetSuite account you need to uninstall that SuiteApp first before installing the new version of Contra Account Sheet from SuiteApp Marketplace.          In version 1.2.7 Contra Account Sheet now displays data from accounting books in active inactive and pending states.,,,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_1521115850.html,,,,,,,Contra Account Sheet          Starting version 1.2.1 Contra Account Sheet SuiteApp is available for installation from the SuiteApp Marketplace (Application ID: com.netsuite.kontenblatt). This SuiteApp enables you to generate transaction reports with contra account information.          Previously you can install the Contra Account Sheet SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.01 bundle ID: 314179) installed in your NetSuite account you need to uninstall that SuiteApp first before installing the new version of Contra Account Sheet from SuiteApp Marketplace.          In version 1.2.7 Contra Account Sheet now displays data from accounting books in active inactive and pending states.,FS
