Product,Category,SubCategory,FeatureType,FeatureDetails,HeaderDetails,HeaderTitle,ReleaseWave,ImpactLevel,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164846051519"></h2><br>          <p>Online Donations SuiteApp version 1.00.0 is now available for installation from the SuiteApp Marketplace. The Online Donations SuiteApp provides a template for capturing online donations on your organization's nonprofit website. You can integrate online donation directly to NetSuite and receive online donation payments using the NetSuite Payment Link feature.</p><br>          <p>The SuiteApp also supports anonymous donations and tracking of recurring online donations in NetSuite.</p><br>          <p>For more information see <a href="article_164794383122.html">Online Donations</a>.</p><br>        </div>,Online Donations Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_163698073294"></h2><br>          <p>Previously on the Labor Expense Allocation Preferences page you need to individually check each box for the custom segments in which the expenses need to be allocated.</p><br>          <p>In Labor Expense Allocation SuiteApp version 1.00.3 custom segments checkboxes are replaced with a multi-select field labeled as <strong>Custom Segments</strong> on the Labor Expense Allocation Preferences page. New custom segments columns are automatically shown on the NFP Employee Timesheet and Pay Type Allocation records based on your custom segment record preference.</p><br>          <p>For more information see <a href="section_159125411811.html">Setting Up Labor Expense Allocation Preferences</a>.</p><br>        </div>,Custom Segments Update in Labor Expense Allocation Preferences,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,null,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_162740206508"></h2><br>          <p>In Advanced Localization Features version 1.02 you can now use additional printing options to customize your invoices and credit memos.</p><br>          <ul>            <li>              <p><strong>Print Note if Thereâs No Payment Discount</strong> â Adds a note when payment discount is not applied.</p><br>            </li><br>            <li>              <p><strong>Mark Document as Copy or Duplicate</strong> â Enables labeling the document as Copy or Duplicate.</p><br>            </li><br>            <li>              <p><strong>Hide Total Incl. VAT Column</strong> â Hides the Total Incl. VAT Column from the printed invoice.</p><br>            </li><br>          </ul><br>          <p>You can customize the label of printed invoices and credit memos using the <strong>Use Popup for Email Transaction Button</strong>.</p><br>          <p>For more information see <a href="article_160622647667.html">Advanced Localization Features</a>.</p><br>        </div>,Advanced Localization Features Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_cd5_3c4_stb"></h2><br>          <p>The ANZ Localization SuiteApp version 2.0.0 includes the following enhancements:</p><br>          <ul>            <li>              <p>                <a href="#subsect_kb4_jc4_stb">Payment Times Report Generation</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#subsect_my2_414_stb">Payment Times Report Configuration</a><br>              </p><br>            </li><br>          </ul><br>          <div><br>            <h3 id="subsect_kb4_jc4_stb">Payment Times Report Generation</h3><br>            <p>You can now generate the Payment Times Report (PTR) for submission to the Payment Times Reporting Portal.</p><br>            <p>The PTR is a legislative requirement for large businesses in Australia that have trade credit arrangements with small businesses. It reports the payment terms and practices of your small business suppliers.</p><br>            <p>You must submit the PTR within three months after the reporting period. The Payment Times Reporting Portal requires the following:</p><br>            <ul>              <li>                <p>CSV file containing the payment information</p><br>              </li><br>              <li>                <p>Word or PDF file containing signatures and associated declarations</p><br>              </li><br>            </ul><br>            <p>On the Country Tax Reports page in NetSuite you can generate the PTR and then export the CSV file and the Word (.doc) file. PDF is not yet supported.</p><br>            <p>The Australian government requires you to submit the Payment Times Report in Australian dollars (AUD). If your subsidiary in Australia uses a currency that is not AUD you must set up your account to convert your transaction currency to AUD.</p><br>            <p>For more information about what you need to do before generating a PTR see <a href="article_165287398352.html">Payment Times Report (PTR)</a>.</p><br>          </div><br>          <div><br>            <h3 id="subsect_my2_414_stb">Payment Times Report Configuration</h3><br>            <p>The ANZ Localization SuiteApp provides the Payment Times Report Configuration page where you must provide information needed for generating the PTR. The configuration page contains the following subtabs:</p><br>            <ul>              <li>                <p><strong>Entity &amp; Approval Information</strong> â Contains fields for entity submitter and approver details.</p><br>              </li><br>              <li>                <p><strong>Payment Details</strong> â Contains fields for payment period practices and arrangements and supply chain financing.</p><br>              </li><br>              <li>                <p><strong>Others</strong> â Contains fields for changes in accounting period business name and comments related to the report.</p><br>              </li><br>            </ul><br>            <p>For more information see <a href="article_165287446201.html">Payment Times Report Configuration</a>.</p><br>          </div><br>        </div>,Australia Payment Times Report,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164025600233"></h2><br>          <p>To avoid possible conflicts with other SuiteApps the script IDs for the following fields in the ANZ Localization SuiteApp are changed in version 1.1.3.</p><br>          <div style="font-size:11.96px !important;word-wrap:normal;white-space:normal;overflow-wrap:break-word;"><br>            <table class="grid" style="width:100%;table-layout:fixed;overflow-wrap:break-word;border-collapse:collapse;margin: 5px 0px 10px 0px;line-height: 125%;"><br>              <thead><br>                <tr><br>                  <th style="vertical-align:top;padding:3.6px;width:22.3%;"><br>                    <p style="font-size:1em !important;margin:0px;">Page</p><br>                  </th><br>                  <th style="vertical-align:top;padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Field</p><br>                  </th><br>                  <th style="vertical-align:top;padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">New Script ID</p><br>                  </th><br>                  <th style="vertical-align:top;padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Old Script ID</p><br>                  </th><br>                </tr><br>              </thead><br>              <tbody><br>                <tr><br>                  <td style="padding:3.6px;width:22.3%;" rowspan="2"><br>                    <p style="font-size:1em !important;margin:0px;">ANZ Preferences</p><br>                  </td><br>                  <td style="padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">ABN Verification Warning</p><br>                  </td><br>                  <td style="padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>anz_bn_verification_comp</p><br>                  </td><br>                  <td style="padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>bn_verification_warnings_comp</p><br>                  </td><br>                </tr><br>                <tr><br>                  <td style="padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Allow Override</p><br>                  </td><br>                  <td style="padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>anz_override_bn_warnings</p><br>                  </td><br>                  <td style="padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>override_bn_warnings</p><br>                  </td><br>                </tr><br>                <tr><br>                  <td style="padding:3.6px;width:22.3%;" rowspan="3"><br>                    <p style="font-size:1em !important;margin:0px;">Supplier ABN List Report</p><br>                  </td><br>                  <td style="padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Export File Name</p><br>                  </td><br>                  <td style="padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_anz_current_date</p><br>                  </td><br>                  <td style="padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_current_date</p><br>                  </td><br>                </tr><br>                <tr><br>                  <td style="padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Export File Name</p><br>                  </td><br>                  <td style="padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>anz_running_number_count</p><br>                  </td><br>                  <td style="padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_<wbr>running_number_count</p><br>                  </td><br>                </tr><br>                <tr><br>                  <td style="padding:3.6px;width:21.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">Supplier List</p><br>                  </td><br>                  <td style="padding:3.6px;width:27.4%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_anz_date</p><br>                  </td><br>                  <td style="padding:3.6px;width:28.6%;"><br>                    <p style="font-size:1em !important;margin:0px;">custrecord_date</p><br>                  </td><br>                </tr><br>              </tbody><br>            </table><br>          </div><br>          <p>After the update the following values will reset:</p><br>          <ul>            <li>              <p><strong>Supplier list exported file name</strong> - The running number count used in the supplier list exported file name will reset. You can access the Supplier ABN List Report page at Setup &gt; ANZ Localization &gt; Supplier List. For more information see <a href="article_161972327493.html">Generating a Supplier ABN List Report</a>.</p><br>            </li><br>            <li>              <p><strong>ANZ Preferences</strong> - The preferences on this page will reset to their default values. To set the values again for ABN Verification Warning go to Setup &gt; ANZ Localization &gt; Preferences. If applicable check the Allow Override box. For more information see <a href="article_161156090753.html">Setting Up ANZ Localization Preferences</a>.</p><br>            </li><br>          </ul><br>          <div class="infobox-note"><br>            <span class="notep1">Note: </span><br>            <p class="nshelp_first">If you have existing customizations that use any of the old script IDs you need to update these customizations to use the new script IDs after the SuiteApp is updated to version 1.1.3.</p><br>          </div><br>          <p>In addition this update removes the duplicate vendor records from the Supplier ABN List Report page.</p><br>        </div>,ANZ Localization Preferences and Supplier List Updates,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164905796271"></h2><br>          <p>Belgium Localization SuiteApp version 1.05.0 provides the following enhancements to SuiteTax-based reports:</p><br>          <ul>            <li>              <p><strong>VAT Return 625 XML export</strong> â The VAT Return 625 report can now be exported to XML. You can download the XML file from the Country Tax Report page where you generate the VAT report.</p><br>            </li><br>            <li>              <p><strong>Updated XML file exports</strong> â The XML versions of the Belgium Intrastat Annual Client Listing and EU Sales List reports have been updated according to recent tax reporting standards. The update includes a fix in the formatting of certain information in the reports.</p><br>            </li><br>          </ul><br>          <p>For more information see <a href="section_157501756115.html">Belgium Localization</a>.</p><br>        </div>,Belgium Localization Tax Reports Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_69095155779"></h2><br>          <p>Belgium Localization SuiteApp version 2.00.0 is now available in the SuiteApp Marketplace. Previous versions of this SuiteApp are no longer supported. If you are using the SuiteTax feature installing this latest version prevents compatibility issues in your Belgium tax reports with NetSuite 2022.1 and later versions.</p><br>          <p>Belgium Localization SuiteApp version 1.05.0 or earlier is not automatically upgraded to version 2.00.0. To install this latest version from the SuiteApp Marketplace you must first uninstall the older versions of the SuiteApp (Bundle ID: 307195) from the SuiteBundler.</p><br>          <p>For more information see <a href="section_157501756115.html">Belgium Localization</a>.</p><br>        </div>,Belgium Localization Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164601514884"></h2><br>          <p>China Localization SuiteApp includes the following enhancements in 2022.1:</p><br>          <ul>            <li>              <p>                <a href="#bridgehead_83093413856">Additional Reporting Filters and Templates for China Voucher List Reports</a><br>              </p><br>            </li><br>            <li>              <p>                <a href="#bridgehead_30093503128">China Localization Support for SuiteTax Engine</a><br>              </p><br>            </li><br>          </ul><br>          <h2 id="bridgehead_83093413856">Additional Reporting Filters and Templates for China Voucher List Reports</h2><br>          <p>China Localization version 1.00.25Â provides additional filters and templates for China Voucher List Reports.</p><br>          <p>You can now use the Vendor Customer and Employee fields as search filters when generating the China Voucher List.</p><br>          <p>You also have more templates to choose from when generating a China Voucher List. Voucher templates prefixed with <strong>New</strong> have an increased character limit for the Account Description and Memo columns. These templates also include vendor customer or employee data in each line item.</p><br>          <p>For more information see <a href="section_1544494013.html">Generating the China Voucher List</a> and <a href="section_1544668945.html">Setting Up Preferences for China Voucher List</a>.</p><br>          <h2 id="bridgehead_30093503128">China Localization Support for SuiteTax Engine</h2><br>          <p>China Localization version 1.00.26Â provides support for SuiteTax features.</p><br>          <p>Accounts with SuiteTax enabled will be able to use China Localization features.</p><br>          <p>For more information see <a href="section_165164238938.html">Installing China Localization In Accounts With Suitetax</a>.</p><br>        </div>,China Localization Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_163646126335"></h2><br>          <p>Starting version 1.2.1  SuiteApp is available for installation from the SuiteApp Marketplace (Application ID: com.netsuite.kontenblatt). This SuiteApp enables you to generate transaction reports with contra account information.</p><br>          <p>Previously you can install the  SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.01 bundle ID: 314179) installed in your NetSuite account you need to uninstall that SuiteApp first before installing the new version of  from SuiteApp Marketplace.</p><br>          <p>In version 1.2.7  now displays data from accounting books in active inactive and pending states.</p><br>        </div>,Contra Account Sheet,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164276151423"></h2><br>          <p>Country-Specific Reports SuiteApp version 1.03 includes the new account balance drill-down feature.</p><br>          <p>To use this feature you must have the Contra Account Sheet SuiteApp installed in your NetSuite account. Also this feature is available only for reports that use the list of accounts feature.</p><br>          <p>To help you better understand the report data related to a single account the drill-down feature connects the reports provided by the Country-Specific Reports SuiteApp with the Contra Account Sheet SuiteApp dashboard. When you click a value in your report it opens a new browser tab that shows the Contra Account Sheet dashboard. This dashboard contains detailed transaction-level information for the selected account and period. Currently you can drill down only to a single account balance.</p><br>          <p>This update also adds a new <strong>Report Type</strong> field on the CSR â Report record. To use the account balance drill-down feature on new or existing reports this field must be set to either income statements or balance sheets.</p><br>          <p>For more information see <a href="chapter_1526393632.html">Country-Specific Reports</a>.</p><br>        </div>,Country-Specific Reports Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_165391041793"></h2><br>          <p>Germany Localization SuiteApp version 1.0 is now available for installation.</p><br>          <p>The Germany Localization SuiteApp provides features that address or comply with accounting and financial reporting requirements or standards specific to Germany. Two important German standards (SKR03 and SKR04) are supported. Chart of accounts templates with numerous common accounts are provided giving German companies the option to add subaccounts to the chart of accounts or to set up only the accounts they will use. The Germany Localization SuiteApp also supports several German financial statements including the balance sheet the income statement and balance reports (SuSa). These financial statements display aggregated data drawn from relevant accounts defined in the chart of accounts. Also several SuiteTax-based reports are available such as Intrastat â Arrivals and Intrastat - Dispatches Recapitulative Statement Periodic VAT Return â USt 1A and GoBD Data Extract.</p><br>          <p>For more information see <a href="chapter_1541684540.html">Germany Localization</a>.</p><br>        </div>,Germany Localization Now Available,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164422210051"></h2><br>          <p>India Localization SuiteTax Engine SuiteApp version 3.03.0 enables you to create transactions for <strong>Exempted</strong> and <strong>SEZ</strong> subsidiary registration types. You can now select <strong>Exempted</strong> or <strong>SEZ</strong> from the <strong>Subsidiary Registration Type</strong> field of the Goods and Services Tax (GST) tax rate rule record.</p><br>          <p>For more information see <a href="section_1534232862.html">Setting Up Tax Rate Rules for India GST</a>.</p><br>        </div>,India Localization SuiteTax Engine Enhancements,2022 Wave 1,,,,,,,,,,No
FS,Accounting,Accounting Testing,,null,<div><br>          <h2 id="subsect_164484414892"></h2><br>          <p>Ireland Localization SuiteApp version 1.02.0 includes the following enhancements:</p><br>          <ul>            <li>              <p>For the <strong>Return of Trading Details</strong> report:</p><br>              <ul>                <li>                  <p>Report boxes definition is revised to support Postponed Accounting.</p><br>                </li><br>                <li>                  <p>Multi-Book Accounting is now supported.</p><br>                </li><br>                <li>                  <p>Report design is updated and now includes PDF and Excel export options.</p><br>                </li><br>              </ul><br>            </li><br>            <li>              <p>For the <strong>Periodic VAT Return â VAT3</strong> report:</p><br>              <ul>                <li>                  <p>Report boxes definition is revised to support Postponed Accounting.</p><br>                </li><br>                <li>                  <p>Multi-Book Accounting is now supported.</p><br>                </li><br>                <li>                  <p>Report design is updated and now includes PDF and Excel export options.</p><br>                </li><br>                <li>                  <p>Support for manual e-filing using XML file is now available.</p><br>                </li><br>              </ul><br>            </li><br>            <li>              <p><strong>Intrastat Dispatches (post-2021)</strong> report is now available. This report enables you to generate Intrastat Dispatches report for periods starting January 1 2022 in compliance with current requirements. <strong>Intrastat Dispatches (post-2021)</strong> report contains two additional columns:</p><br>              <ul>                <li>                  <p><strong>Partner Operator VAT Number</strong> - VAT number of the company where the goods are dispatched to.</p><br>                </li><br>                <li>                  <p><strong>Country of Origin</strong> - Country where the goods were harvested manufactured or substantially changed.</p><br>                </li><br>              </ul><br>            </li><br>          </ul><br>          <p>Ireland Localization SuiteApp version 2.0.0 includes the following enhancements:</p><br>          <ul>            <li>              <p>Ireland Localization version 2.0.0 is now available for installation from the SuiteApp Marketplace. This SuiteApp enables you to use Ireland-specific features such as tax reporting Intrastat and EC Sales List reporting and electronic bank payments.</p><br>              <p>Previously you could install the Ireland Localization SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.02 bundle ID: 318395) installed in your NetSuite account you need to uninstall it before installing the new version of Ireland Localization from SuiteApp Marketplace.</p><br>            </li><br>          </ul><br>          <p>For more information see <a href="section_158279509758.html">Ireland Localization</a>.</p><br>        </div>,Ireland Localization Enhancements,2022 Wave 1,,,,,,,,,,No
