NodeName,Title,Description,ContactName,EmailAddress,ImageFileName,ExternalURL,InternalURL,ExternalOnePage,EmailSubject,HTMLResult
Set business goals for journeys and measure progress to the goals,Set business goals for journeys and measure progress to the goals,<p>Most customer journeys are created to drive a specific customer behavior or action such as making a purchase signing up for an event or renewing a subscription. You can now choose the intended behavior as the goal of your customer journey and set a target you want to hit. Using the goal you can measure the success of the customer journey on an ongoing basis.Goal setting enables you to make incremental improvements to reach your targets more quickly and effectively.Feature details<p> <br> <h1>Feature details</h1> <p>Define goals that track customer engagement customer satisfaction general onboarding or drive a purchase.Measure the success of the customer journey on an ongoing basis using the goal metric and a target.Optimize your A/B tests and channel selections based on the journey goal.Express goal targetsin count or percentage to determine how well a journey is performing.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoSet a business goal and measure progress through a journey (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/set-business-goals-journeys-measure-progress-goal,,,,
Channels,Channels,Channels,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/planned-features,,,,
Create and send SMS messages to any mobile phone,Create and send SMS messages to any mobile phone,<p>SMS messaging through the Dynamics 365 Marketing mobile channel creates new opportunities to connect with mobile users. The SMS channel enables fast transactional communication and marketing messaging to use as a part of campaigns and customer service communication.Feature details<p> <br> <h1>Feature details</h1> <p>The SMS message channel includes promotional and transactional SMS messaging enabling an end-to-end experience with personalized messages and a dedicated SMS editor to orchestrate timely delivery to mobile users.Prior to general availability (GA) SMS will only be available using toll-free numbers only for US customers.After GA and before 2021 release wave 2 it will be possible to purchase or reuse existing SMS accounts with Twilio or TeleSign.For 2021 release wave 2 it will be possible to purchase Azure Communication Services phone numbers in the regions where Communication Services SMS phone numbers are supported. See Phone number types in Azure Communication Services for more details.See alsoCreate outbound text messages (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/create-send-sms-messages-mobile-phone,,,,
Deliver push notifications to any Android or iOS app,Deliver push notifications to any Android or iOS app,<p>Businesses with mobile apps can now use Dynamics 365 Marketing to orchestrate beautiful personalized push notifications to keep customers engaged.Feature details<p> <br> <h1>Feature details</h1> <p>The mobile push channel includes rich notification features such as customized messages with images videos and sound.Send push notifications in-app or outside the app.Push clicks can lead to links and deep links.Custom action buttons can link to a preferred action or a page inside or outside of the app.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoCreate push notifications (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/deliver-push-notifications-android-or-ios-app,,,,
Search version manage and tag your digital assets with a new centralized asset library,Search version manage and tag your digital assets with a new centralized asset library,<p>To build successful multitouch experiences companies must serve quality content at the right time and in the right form. But for many companies there is no 360-degree view or management of the companys assets. This makes it extremely challenging to manage add or share content. Our new asset library is shared with Dynamics 365 Commerce. The asset library allows you to search create update delete and replace images. The search experience is improved with intelligent AI-based image tagging.Feature details<p> <br> <h1>Feature details</h1> <p>Single asset library across Dynamics 365.Search create update and delete images.Replace images.Bulk import and management of images.Intelligent image tagging using AI for effective search.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoReal-time marketing asset library (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/search-version-manage-tag-digital-assets-new-centralized-asset-library,,,,
Create and manage content-rich social media posts for Instagram,Create and manage content-rich social media posts for Instagram,<p>Social channels are powerful tools to communicate with and influence prospects and customers. With this release you can easily create rich content for Instagram. You can now optimize when posts are delivered by scheduling them.Feature details<p> <br> <h1>Feature details</h1> <p>Post single photos to Instagram (limited to one photo per post; video posting is scheduled for an upcoming release).Familiar user interface and experience aligned with other social channels already supported in Marketing.Insights using Instagram-supported KPIs.Posting to Instagram requires authentication with a Facebook account.See alsoSchedule and post messages on social media (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/create-manage-content-rich-social-media-posts-instagram,,,,
Create emails quickly with low effort and without compromises,Create emails quickly with low effort and without compromises,<p>With the revamped email editor we have designed a completely new way of creating engaging and relevant content. The improved email editor optimizes for a productive workflow including real-time validation making it easy to produce professional emails with less time and effort.Feature details<p> <br> <h1>Feature details</h1> <p>Fast and fluid editor with a modern look and feel.More editing space.AI-driven image recommendations.Flexible layout options allow you to create emails without compromises.Advanced image manipulations and more editing capabilities.Reliable email previews and accurate rendering.Thank you for your ideaThank you for submitting this idea. We listened to your idea along with comments and votes to help us decide what to add to our product roadmap.See alsoCreate a new email and design its content (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/create-emails-quickly-low-effort-without-compromises,,,,
Moments-based,Moments-based,Moments-based,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/planned-features,,,,
Event catalog with built-in and custom events for triggering customer journeys,Event catalog with built-in and custom events for triggering customer journeys,<p>You can now leverage a rich set of built-in events from Marketing interactions Dynamics 365 applications and external data sources to capture moments that matter create engaging interactions with customers and track the success of campaigns and customer journeys. Extend the catalog with custom events to orchestrate business-specific real-world scenarios tracking customer behaviors or other signals to create personalized and meaningful customer experiences.Feature details<p> <br> <h1>Feature details</h1> <p>Marketing interactions include email opened link clicked form submitted and webinar registration completed.Web events include page viewed and link clicked.Dynamics 365 business events include profile created or changed order submitted payment received service request initiated and more.The built-in events set can be extended with both custom events that map to business-specific interactions (for example Wi-Fi connection) or an aggregation/composition of events (for example the third purchase in a month).Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoReal-time marketing event triggers (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/event-catalog-built-in-custom-events-triggering-customer-journeys,,,,
Real-time event-based customer journey orchestration,Real-time event-based customer journey orchestration,<p>Event-based customer journeys enable you to react to customers actions in real-time. Journeys can be triggered based on real-world interactions like walking into a store and connecting to Wi-Fi. Journeys can also be triggered by virtual interactions such as visiting a shopping site. The real-time nature of the journey ensures that you can respond to customers immediately and convert their expression of interest into a sale.Feature details<p> <br> <h1>Feature details</h1> <p>Intuitive customer journey designer optimized for event-based journeys.Journeys are triggered in real time so you can respond to customers immediately.Automatically add or remove customers from a journey based on their actions.Personalize the experience for every customer based on their actions during the journey.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoCreate an event-based journey (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/real-time-event-based-customer-journey-orchestration,,,,
Personalization,Personalization,Personalization,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/planned-features,,,,
Author personalized content across email SMS and push notifications through a new point-and-click interface,Author personalized content across email SMS and push notifications through a new point-and-click interface,<p>Personalization is key to driving engagement with your customers. But the complexity of setting up personalized content can decrease productivity. With this release you can easily create personalized content across email SMS and push messages with a point-and-click interface that guides you through all your available data.Feature details<p> <br> <h1>Feature details</h1> <p>Clear &quot;Personalization&quot; button in rich text editor tool bar.Search and browse all your available data to easily personalize content.New dedicated panel for all personalized content.Personalized text highlighted in email content.Personalize SMS and push messages.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoAdd personalized data to a real-time marketing email (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/author-dynamic-content-ease-through-new-point-and-click-interface,,,,
Hyper-personalize customer journeys using data and insights from Dynamics 365 Customer Insights,Hyper-personalize customer journeys using data and insights from Dynamics 365 Customer Insights,<p>Dynamics 365 Marketing enables deep 1:1 personalization in your customer engagement initiatives by seamlessly augmenting your CRM data with rich customer profiles and segments from Dynamics 365 Customer Insights. You can now personalize event-driven customer journeys based on these profiles and segments and delight your customers with every message and every engagement.Feature details<p> <br> <h1>Feature details</h1> <p>Use segments for fine-grained targeting in event-driven customer journeys whether the journeys are triggered by an event or a preset schedule.Eliminate tone-deaf communication by using segments to exclude certain customers from entering the journey or suppress messages to customers already in a journey. For instance when a customer is a loyalty program member and has an active support issue you can suppress promotional content.Branch or fork journeys by defining conditions that are based on customer profile attributes (such as lifetime spend or last purchase date) or segments (such as loyalty).Strike a deeper connection with your customers by personalizing your messages with customer profile attributes.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoWork with segments in real-time marketing (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/hyper-personalize-customer-journeys-using-data-insights-dynamics-365-customer-insights,,,,
Use continuously updating multidata-source segments from Customer Insights in your marketing campaigns,Use continuously updating multidata-source segments from Customer Insights in your marketing campaigns,<p>Dynamics 365 Customer Insights integration enriches Dynamics 365 Marketing's segmentation capabilities allowing precise audience targeting and increased campaign effectiveness.Feature details<p> <br> <h1>Feature details</h1> <p>Discover Customer Insights segments instantly see the segment creation logic and use the segments for Marketing customer journeys.Customer Insights segments in Marketing are dynamically updated as long as Customer Insights and Marketing are connected.Save snapshots of Customer Insights dynamic segments as static segments in Marketing.Use Customer Insights segments directly in customer journeys just like native Marketing dynamic segments.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.See alsoUse Customer Insights profiles and segments in real-time marketing (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/use-continuously-updating-multidata-source-segments-customer-insights-marketing-campaigns,,,,
Create deeply personalized emails with a more flexible set of data sources,Create deeply personalized emails with a more flexible set of data sources,<p>Sending personalized content to customers is a great way to increase engagement. With this release we are extending personalization beyond information captured in the contact record. You can now use any data source that you can connect into Microsoft Dataverse as data for personalization.In addition to more deeply personalized messages you can combine multiple messages that differ only by the dynamic data into a single message for easier management and maintenance.Feature details<p> <br> <h1>Feature details</h1> <p>Use any data for personalization not just contact records.Easily explore the new experience that allows six levels of related data.Preview features will be available in North America in April and Europe regions in early May. Other regions will be supported at the time of general availability.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/create-deeply-personalized-emails-more-flexible-set-data-sources,,,,
Quickly create conditional content with a new intuitive editing experience,Quickly create conditional content with a new intuitive editing experience,<p>Dynamic content is key to delivering highly personalized messages to customers. But the complexity of setting up dynamic content can decrease productivity. With this release you can create advanced dynamic content such as showing a block of content based on a condition from an easy-to-use UI editor that removes the need to write custom code into the HTML.Feature details<p> <br> <h1>Feature details</h1> <p>The new email editor now supports creating conditional content through the UI.Personalize sections of email content to a specific segment.Set default content.View content variations in the email designer.Create conditional email headers.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/quickly-create-conditional-content-new-intuitive-editing-experience,,,,
Participant attendance-based communication for online events powered by Microsoft Teams,Participant attendance-based communication for online events powered by Microsoft Teams,<p>For marketers who use online events to engage with customers generate new leads and create opportunities attendance-based communications are of significant value. Knowing registration and event check-in information allows marketers to follow up with participants who attended a webinar and provides an opportunity to close the loop.Feature details<p> <br> <h1>Feature details</h1> <p>Track attendee registrations and check-ins for Microsoft Teams-hosted webinar events.Create segments powered by Teams registration and check-in information to share event summaries and recordings.Use check-in information segments to gather attendee feedback to better understand what kind of webinars attendees would like see in the future.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/marketing/dynamics365-marketing/participant-engagement-based-communication-online-events-powered-teams,,,,
Sales,Sales,Sales,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/,,,,
Dynamics 365 Sales,Dynamics 365 Sales,Dynamics 365 Sales,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/,,,,
Accelerator workspace,Accelerator workspace,Accelerator workspace,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/planned-features,,,,
Smart sequences â branching based on BPF state entity property and global exit criteria,Smart sequences â branching based on BPF state entity property and global exit criteria,<p>Sellers today are required to check the customer status and take a number of actions:Decide what task to perform next.Create a new email task.Edit the email with the relevant information.Send it to the customer and wait for a response.This process can be automated but it requires explicit action from sellers so they will have more time to close other business opportunities.Feature details<p> <br> <h1>Feature details</h1> <p>Branching based on Entity Property: This feature will allow sales engagement managers to define sequence branching based on a value of a field. For example if the budget is greater than $1 million set up a meeting. Otherwise send email.Branching based on BPF Stage: Sequences can also be customized to branch based on the business process flow (BPF) stage. For example if the lead gets qualified exit this sequence.Global Exit Criteria: Sellers would like to focus on the deal that is relevant and remove any deal that doesn't require future attention. In order to support this we are providing global exit criteria.NoteThis feature is available in Unified Interface only.See alsoAdaptive sequences (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/smart-sequences--branching-based-bpf-state-entity-property-global-exit-criteria,,,,
Lead generation and nurturing,Lead generation and nurturing,<p>Take the prospecting experience to the next level by integrating with third-party lead acquisition services. With these integrations sellers can query for new leads that match a certain segment or criteria. Depending on the service provider sellers can also search for similar contacts and companies to reveal new potential opportunities and enrich their customer base so that the information is complete and up to date.Feature details<p> <br> <h1>Feature details</h1> <p>In this release we'll be announcing:Integrations with third-party lead acquisition services.Ability to query for new leads that match a certain segment or criteria.Search for similar contacts and companies depending on the service provider.Ability to enrich the customer base so that the information is complete and up to date.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/lead-generation-nurturing,,,,
Smart sequences â command action and email template,Smart sequences â command action and email template,<p>Sales enablement managers define a series of activities in a sequence that sellers need to follow. Based on the outcome of these activities command actions might be required. These nested sequences can be created for a specific business process. Creating an email step will become more efficient.Feature details<p> <br> <h1>Feature details</h1> <p>Command action: Sales enablement managers can define the next steps based on the outcome of the sequence such as connecting to a new sequence. For example:If the discussion was successful connect to a demo setup sequence.If the stage is disqualified disconnect the sequence.Email template: Sales enablement managers can preview the template without moving out of the sequence. This allows the user to easily select the right template.NoteThis feature is available in Unified Interface only.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/smart-sequence--command-action-email-template,,,,
Collaboration with Microsoft Teams,Collaboration with Microsoft Teams,Collaboration with Microsoft Teams,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/planned-features,,,,
Access contextual list of Microsoft Teams channel and chats from within Dynamics 365,Access contextual list of Microsoft Teams channel and chats from within Dynamics 365,<p>A salesperson within Dynamics 365 Sales can access their list of Microsoft Teams chats and channels that are:Associated with the Dynamics 365 entity page they are on.The most recent chat conversations.Salespeople will be able to clearly distinguish the primary channel or chat session associated with the Dynamics 365 entity.Key problems to be solved:Quick and transparent access to primary stakeholder group. Users will want to quickly engage the primary stakeholder group and not have to sift through a list of channels or chats associated with the account.Dynamics 365 as an organizing layer for sales collaboration. Microsoft Teams can be unwieldy for organizing the many sales collaboration sessions across channels and chats. The structure of Dynamics 365 ensures that users know where to find collaboration activity for a given entity.Feature details<p> <br> <h1>Feature details</h1> <p>Access to linked Microsoft Teams chats.Access to linked Microsoft Teams channels.Access to recent teams chat list.Ability to link and unlink chats to record.Ability to link and unlink channels to record.Message preview.Message avatar and presence.Context of chat and channel list changes as user navigates around Dynamics 365.NoteThis feature is available in Unified Interface only.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/access-contextual-list-teams-channel-chats-within-dynamics,,,,
Engage in a Microsoft Teams chat from within Dynamics 365,Engage in a Microsoft Teams chat from within Dynamics 365,<p>Time savings: Sales collaboration in Microsoft Teams can become disorganized quickly making it hard to find the right conversations that matter for the seller.App switching: Currently users switch between the Sales Hub app to reference or update records and Microsoft Teams to interact with stakeholders. Constant app switching is inefficient.Bringing structure and organization to sales collaboration: Dynamics 365 provides an organizing layer to sales activities that is difficult to replicate from within Microsoft Teams.Feature details<p> <br> <h1>Feature details</h1> <p>Full Microsoft Teams chat experience.Rich text editor message importance emojis and GIFs.Add participants to chat.Post actions.Multiple chat windows open simultaneously.Chat window persists as user navigates across Dynamics 365.NoteThis feature is available in Unified Interface only.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/engage-teams-chat-conversation-within-dynamics,,,,
Setup and security enhancements to Dynamics 365 app for Microsoft Teams,Setup and security enhancements to Dynamics 365 app for Microsoft Teams,<p>Optimizing the current process for sellers to configure and operate Dynamics 365 for Sales with Microsoft Teams integration increases the efficiency for the user. By streamlining the first run experience sellers can begin gaining value from this integration faster. The enhanced user interface privacy and security updates ensure parity with Unified Interface of Dynamics 365 as well as Microsoft Teams client experiences.Feature details<p> <br> <h1>Feature details</h1> <p>Intuitive user experience to allow for quicker configuration navigation and error handling.Ability to set AIP and MIP labels (based on tenant permissions).Option to set Microsoft Teams created from Dynamics 365 as public or private to maintain security.NoteThis feature is available in Unified Interface only.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/setup-security-enhancements-dynamics-app-teams,,,,
Create activities or notes on a Dynamics 365 record from the context of a Microsoft Teams message,Create activities or notes on a Dynamics 365 record from the context of a Microsoft Teams message,<p><p> <br> <h1>Feature details</h1> <p>Add a note or task to a record's timeline from the context of a Microsoft Teams message in a chat or channel.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/create-activities-or-notes-dynamics-record-context-teams-message,,,,
Edit a Dynamics 365 record within a Microsoft Teams conversation,Edit a Dynamics 365 record within a Microsoft Teams conversation,<p>This feature enables quick editing of Dynamics 365 records from a form within a Microsoft Teams conversation and works from the perspective of the seller or the recipient.Allow sellers to quickly edit a record from a Microsoft Teams conversation to ensure the information is up to date before sending to teammates customers and other stakeholders.Send a quickly accessible form to your conversation participants so they can make rapid updates to a record ensuring that you have the most up-to-date information.Feature details<p> <br> <h1>Feature details</h1> <p>Conversation participants can quickly update or edit a record from within a Microsoft Teams conversation.Conversation participants can change the state of a record from within a Microsoft Teams conversation.Support customized forms and business rules specific to an organization.Ensure only those with required security permissions have write access.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/edit-dynamics-365-record-within-teams-conversation,,,,
Share CRM records in a Microsoft Teams message,Share CRM records in a Microsoft Teams message,<p>Sellers want to surface the context of sales conversations in Microsoft Teams and they need a wayto search and share CRM data directly in the message. Current collaboration features allow Dynamics 365 records to be pinned to Microsoft Teams channels. However that is the beginning and end of contextualization. In order to leverage CRM data throughout the conversation this feature would allow users to search for information in Dynamics 365 share with other participants in their chats or channels and even allow them to perform tasks from within the conversation.Feature details<p> <br> <h1>Feature details</h1> <p>Send a quick summary of a record in a Microsoft Teams chat or channel as an interactable card.Search for Dynamics 365 records organized by relevance.Search and filter for Dynamics 365 records to share with your conversation participants.Allow conversation participants to add an activity or note to a record through interactable cards.Ensure only those with proper security permissions can view details of the record.</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/share-crm-records-teams-message,,,,
Digital selling,Digital selling,Digital selling,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/planned-features,,,,
Enable automatic intelligent assignment for leads,Enable automatic intelligent assignment for leads,<p><p> <br> <h1>Feature details</h1> <p>Adding a lead distribution engine will reduce the manual assignment work of the sales manager preventing the loss of unassigned leads and balancing sales capacity among sellers. With this capability leads are automatically assigned to the right seller providing smart assignment in a very short time.NoteThis feature is available in Unified Interface only.See alsoManage assignment rules for lead routing (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/enable-automatic-intelligent-assignment-leads,,,,
Enhance personal settings,Enhance personal settings,<p>Give users the option and flexibility to create email templates and email signatures using the new editor. Move personal settings to a dedicated area to get more traction by sellers and to host both Sales and Sales Insights personal settings.Feature details<p> <br> <h1>Feature details</h1> <p>Access to modern email template and signature editor.Move personal settings to a dedicated area switcher in Dynamics 365 Sales hub app.Reorganize personal settings items.NoteThis feature is available in Unified Interface only.See alsoManage insight cards (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/enhance-personal-settings,,,,
Automation and adaptiveÂ sequences,Automation and adaptiveÂ sequences,<p>Today sellers are required to check the customer status and accordingly decide on the next task to perform create a new email task edit the email with the relevant information send it to the customer and wait for a response. This process can be automated and will require explicit action from the seller when needed so they are able to spend their spare time closing other business opportunities.Feature details<p> <br> <h1>Feature details</h1> <p>Sequence automation: Execute activities automatically without requiring seller intervention such as automatically sending emails when email activity is the next step in the sequence.Adding email automation support.Personalization email template to send from the seller account.Sequence forks: Reactive sequences that can smartly pick the next step based on external or internal triggers.Sequence listener:Adding listener for email engagement: email open email link click attachment viewed and sentiment.Adding listener for phone or meeting conversation: sentiment keyword competitor mentioned and more.NoteThis feature is available in Unified Interface only.This functionality might require a separate add-in license. Please see plan comparisons for more information.See alsoAdaptive sequences (docs)</p>,,,,https://docs.microsoft.com/en-us/dynamics365-release-plan/2021wave1/sales/dynamics365-sales/automation-adaptive-sequences,,,,
